,Event Type,Place,Event Start Date,Fatalities,Injured / Infected,Evacuated,Normalized Total Cost (2016)
,Meteorological - Hydrological:,"Ontario, Quebec, New Brunswick, Nove Scotia, Prince Edward Island and Newfoundland",24-Feb-16,Unknown,Unknown,200,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Fredericton NB,28-May-15,Unknown,Unknown,Unknown,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Perth-Andover NB,18-Apr-15,Unknown,Unknown,300,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Maritime Provinces,15-Feb-15,Unknown,Unknown,21,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,"Quebec, New Brunswick, Nova Scotia, and Prince Edward Island",05-Jul-14,0,0,90,"$25,343,617 "
,Hurricane / Typhoon / Tropical Storm,,,,,,
,Meteorological - Hydrological:,New Brunswick,15-Apr-14,0,0,1473,"$30,359,626 "
,Flood,,,,,,
,Meteorological - Hydrological:,"Ontario, Quebec and New Brunswick",20-Dec-13,0,0,0,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Perth-Andover NB,23-Mar-12,Unknown,Unknown,500,"$20,866,846 "
,Flood,,,,,,
,Meteorological - Hydrological:,"Quebec, New Brunswick, Nova Scotia, Prince Eward Island, and Newfoundland and Labrador",28-Aug-11,2,Unknown,350,"$164,763,223 "
,Hurricane / Typhoon / Tropical Storm,,,,,,
,Meteorological - Hydrological:,New Brunswick and Nova Scotia,13-Dec-10,0,0,132,"$5,510,730 "
,Flood,,,,,,
,Meteorological - Hydrological:,Baie-Verte and Port Elgin NB,02-Jan-10,0,0,0,"$691,787 "
,Storm Surge,,,,,,
,Meteorological - Hydrological:,Nova Scotia and New Brunswick,25-Oct-09,0,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,"Saint John, Miramichi and Restigouche River NB",05-Apr-09,0,0,0,"$2,244,755 "
,Flood,,,,,,
,Biological:,Across Canada,01-Apr-09,425,8582,0,Unknown
,Pandemic,,,,,,
,Meteorological - Hydrological:,Maritime Provinces,28-Sep-08,0,0,0,Unknown
,Hurricane / Typhoon / Tropical Storm,,,,,,
,Meteorological - Hydrological:,Saint John NB,07-Sep-08,0,0,0,"$759,713 "
,Hurricane / Typhoon / Tropical Storm,,,,,,
,Biological:,Across Canada,01-Aug-08,22,57,0,Unknown
,Epidemic,,,,,,
,Meteorological - Hydrological:,Quebec and New Brunswick,31-Jul-08,2,0,74,"$1,686,998 "
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Saint John River NB,30-May-08,0,0,1000,"$23,631,902 "
,Flood,,,,,,
,Meteorological - Hydrological:,New Brunswick,21-Mar-08,0,0,0,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Saint John NB,14-Feb-08,0,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Martime Provinces,04-Dec-07,0,0,0,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,New Brunswick and Nova Scotia,04-Nov-07,0,0,0,Unknown
,Hurricane / Typhoon / Tropical Storm,,,,,,
,Hazardous Chemicals:,Bellefleur NB,10-May-07,0,0,100,Unknown
,Derailment Release,,,,,,
,Meteorological - Hydrological:,Southern New Brunswick,09-Apr-05,0,Unknown,120,"$2,733,841 "
,Flood,,,,,,
,Meteorological - Hydrological:,Edmundston NB,13-Aug-04,1,Unknown,0,Unknown
,Hurricane / Typhoon / Tropical Storm,,,,,,
,Biological:,"Across Canada, largely in the Greater Toronto area",13-Mar-03,44,375,0,Unknown
,Epidemic,,,,,,
,Meteorological - Hydrological:,Wolfe Lake and Moncton NB,02-Feb-03,Unknown,Unknown,Unknown,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Eastern and Northern Coastline of New Brunswick,29-Oct-00,0,0,0,Unknown
,Storm Surge,,,,,,
,Meteorological - Hydrological:,Maritime provinces,21-Jan-00,0,0,0,"$292,033 "
,Storm Surge,,,,,,
,Meteorological - Hydrological:,Maritime Provinces,17-Jan-00,0,0,216,"$8,911,905 "
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Maritime Provinces,23-Sep-99,0,0,90,"$6,789,451 "
,Flood,,,,,,
,Meteorological - Hydrological:,Balmoral and Val d'Amour areas in Restigouche County NB,07-Sep-99,Unknown,Unknown,Unknown,"$2,386,617 "
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Toronto ON,13-Jan-99,2,0,0,"$168,620,022 "
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Saint John River NB,09-Mar-98,0,0,0,"$7,927,306 "
,Flood,,,,,,
