,Event Type,Place,Event Start Date,Fatalities,Injured / Infected,Evacuated,Normalized Total Cost (2016)
,Meteorological - Hydrological:,Northwest Territories,01-Jun-14,0,0,60,"$56,405,751 "
,Wildfire,,,,,,
,Meteorological - Hydrological:,"Yukon, Northwest Territories and British Columbia",06-Jun-12,0,0,137,"$1,586,535 "
,Flood,,,,,,
,Biological:,Across Canada,01-Apr-09,425,8582,0,Unknown
,Pandemic,,,,,,
,Meteorological - Hydrological:,Hay River NT,05-May-08,0,0,600,"$517,651 "
,Flood,,,,,,
,Meteorological - Hydrological:,Aklavik NT,27-May-06,0,0,300,"$3,696,448 "
,Flood,,,,,,
,Meteorological - Hydrological:,Fort Good Hope NT,11-May-05,0,Unknown,50,"$777,140 "
,Flood,,,,,,
,Meteorological - Hydrological:,Norman Wells NT,21-Jul-03,0,Unknown,100,"$152,189 "
,Wildfire,,,,,,
,Meteorological - Hydrological:,Tibbet Lake NT,22-Jul-98,0,0,5,"$16,938,278 "
,Wildfire,,,,,,
,Meteorological - Hydrological:,Sahtu Region of the Northwest Territories,06-Jun-95,0,0,950,"$5,030,920 "
,Wildfire,,,,,,
,Meteorological - Hydrological:,Tuktoyaktuk and Mackenzie Delta NT,23-Sep-93,0,0,0,Unknown
,Storm Surge,,,,,,
,Terrorist:,Yellowknife NT,18-Sep-92,9,0,0,Unknown
,Bomb Attacks,,,,,,
,Meteorological - Hydrological:,Hay River NT,25-Apr-92,0,0,100,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Liard River NT,01-May-89,0,0,125,"$1,879,271 "
,Flood,,,,,,
,Meteorological - Hydrological:,Yukon to Ontario,30-Jan-89,13,100,0,Unknown
,Cold Event,,,,,,
,Meteorological - Hydrological:,Norman Wells NT,29-Jun-88,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,"Hay River Township, south shore of Great Slave Lake NT",03-May-85,0,1,Unknown,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Aklavik NT,01-Jun-82,0,0,0,"$330,734 "
,Flood,,,,,,
,Meteorological - Hydrological:,Across Canada,05-Jan-82,0,0,0,Unknown
,Cold Event,,,,,,
,Meteorological - Hydrological:,Hay River NT,01-Jan-82,0,0,0,"$1,339,720 "
,Flood,,,,,,
,Meteorological - Hydrological:,Yukon to Ontario,08-Feb-79,0,0,0,Unknown
,Cold Event,,,,,,
,Space Event:,Northwest Territories,24-Jan-78,0,0,0,Unknown
,Space Debris,,,,,,
,Transportation accident:,Rae Point NT,30-Oct-74,32,2,0,Unknown
,Air,,,,,,
,Meteorological - Hydrological:,"Hay River Township, south shore of Great Slave Lake NT",02-May-74,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,"Hay River Township, south shore of Great Slave Lake NT",03-May-63,0,0,1800,Unknown
,Flood,,,,,,
,Biological:,Across Canada,01-Jan-53,481,8000,0,Unknown
,Epidemic,,,,,,
,Biological:,Across Canada,01-Mar-27,Unknown,0,0,Unknown
,Epidemic,,,,,,
,Biological:,Across Canada,01-Jan-18,50000,2000000,0,Unknown
,Epidemic,,,,,,
