Event Type,Place,Event Start Date,Fatalities,Injured / Infected,Evacuated,Estimated Total Cost
Meteorological - Hydrological:,Nova Scotia and Prince Edward Island,27-Nov-16,Unknown,Unknown,Unknown,Unknown
Winter Storm,,,,,,
Meteorological - Hydrological:,"Nova Scotia, Prince Edward Island and Newfoundland",9-Oct-16,Unknown,Unknown,Unknown,"$30,350,000"
Flood,,,,,,
Meteorological - Hydrological:,"Ontario, Quebec, New Brunswick, Nove Scotia, Prince Edward Island and Newfoundland",24-Feb-16,Unknown,Unknown,200,Unknown
Winter Storm,,,,,,
Meteorological - Hydrological:,Maritime Provinces,15-Feb-15,Unknown,Unknown,21,Unknown
Winter Storm,,,,,,
Meteorological - Hydrological:,"Quebec, New Brunswick, Nova Scotia, Prince Eward Island, and Newfoundland and Labrador",28-Aug-11,2,Unknown,350,"$153,856,000"
Hurricane / Typhoon / Tropical Storm,,,,,,
Biological:,Across Canada,1-Apr-09,425,8582,0,Unknown
Pandemic,,,,,,
Meteorological - Hydrological:,Prince Edward Island,13-Dec-08,Unknown,Unknown,Unknown,Unknown
Winter Storm,,,,,,
Meteorological - Hydrological:,Maritime Provinces,28-Sep-08,0,0,0,Unknown
Hurricane / Typhoon / Tropical Storm,,,,,,
Meteorological - Hydrological:,Queens County PE,6-Sep-08,0,0,0,"$1,572,759"
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Prince Edward Island,28-Jan-08,0,0,0,Unknown
Winter Storm,,,,,,
Meteorological - Hydrological:,Martime Provinces,4-Dec-07,0,0,0,Unknown
Winter Storm,,,,,,
Meteorological - Hydrological:,Kings County PE,27-Dec-04,0,Unknown,0,"$2,578,039"
Storm Surge,,,,,,
Meteorological - Hydrological:,Halifax NS and Charlottetown PE,29-Sep-03,8,Unknown,Unknown,"$25,529,656"
Hurricane / Typhoon / Tropical Storm,,,,,,
Meteorological - Hydrological:,Prince Edward Island,31-Mar-03,0,Unknown,Unknown,"$1,869,114"
Winter Storm,,,,,,
Meteorological - Hydrological:,Prince Edward Island,31-Mar-03,0,0,0,"$2,381,905"
Flood,,,,,,
Biological:,"Across Canada, largely in the Greater Toronto area",13-Mar-03,44,375,0,Unknown
Epidemic,,,,,,
Meteorological - Hydrological:,"Across Canada, concentrated in Saskatchewan and Alberta",1-Jun-01,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Maritime provinces,21-Jan-00,0,0,0,"$216,978"
Storm Surge,,,,,,
Meteorological - Hydrological:,Maritime Provinces,17-Jan-00,0,0,216,"$6,621,462"
Winter Storm,,,,,,
Meteorological - Hydrological:,Maritime Provinces,23-Sep-99,0,0,90,"$4,912,305"
Flood,,,,,,
Meteorological - Hydrological:,Prince Edward Island,7-Sep-99,0,0,0,"$1,441,367"
Flood,,,,,,
Meteorological - Hydrological:,Toronto ON,13-Jan-99,2,0,0,"$122,000,000"
Winter Storm,,,,,,
Meteorological - Hydrological:,Alberta to Maritimes,23-Jan-94,0,0,0,"$45,995"
Cold Event,,,,,,
Meteorological - Hydrological:,Eastern Canada,15-Mar-93,33,0,0,"$19,866,000"
Winter Storm,,,,,,
Biological:,Prince Edward Island and New Brunswick,1-Jan-93,0,0,0,Unknown
Epidemic,,,,,,
Meteorological - Hydrological:,Maritime Provinces,1-Feb-92,0,0,0,Unknown
Winter Storm,,,,,,
Meteorological - Hydrological:,Maritime Provinces,25-Oct-91,0,0,0,Unknown
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Northumberland Strait (NS and PE),1-Aug-90,6,0,0,"$4,427,167"
Hurricane / Typhoon / Tropical Storm,,,,,,
Meteorological - Hydrological:,Eastern Canada,1-Jan-83,0,0,0,Unknown
Cold Event,,,,,,
Meteorological - Hydrological:,Prince Edward Island,22-Feb-82,0,0,0,"$1,585,054"
Winter Storm,,,,,,
Meteorological - Hydrological:,Across Canada,5-Jan-82,0,0,0,Unknown
Cold Event,,,,,,
Meteorological - Hydrological:,Charlottetown PE,3-Jul-74,0,0,0,"$143,000"
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,"Newfoundland, Prince Edward Island and Nova Scotia",17-Jun-73,0,0,0,"$5,330,000"
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Prince Edward Island,1-Jan-66,0,0,0,Unknown
Drought,,,,,,
Meteorological - Hydrological:,Maritime Provinces,1-Dec-64,23,8,0,Unknown
Winter Storm,,,,,,
Meteorological - Hydrological:,Prince Edward Island,1-Jan-62,0,0,0,Unknown
Flood,,,,,,
Biological:,Across Canada,1-Jan-53,481,8000,0,Unknown
Epidemic,,,,,,
Meteorological - Hydrological:,Charlottetown PE,22-Sep-42,0,0,0,Unknown
Hurricane / Typhoon / Tropical Storm,,,,,,
Meteorological - Hydrological:,Across Canada,5-Jul-36,1180,0,0,Unknown
Heat Event,,,,,,
Meteorological - Hydrological:,St. Lawrence River,26-Jun-30,30,11,0,Unknown
Storms and Severe Thunderstorms,,,,,,
Biological:,Across Canada,1-Mar-27,Unknown,0,0,Unknown
Epidemic,,,,,,
Biological:,Across Canada,1-Jan-18,50000,2000000,0,Unknown
Epidemic,,,,,,
Meteorological - Hydrological:,Eastern Canada,8-Jul-12,3,0,0,Unknown
Heat Event,,,,,,
