,Event Type,Place,Event Start Date,Fatalities,Injured / Infected,Evacuated,Estimated Total Cost
,Meteorological - Hydrological:,"Ontario, Quebec, New Brunswick, Nove Scotia, Prince Edward Island and Newfoundland",24-Feb-16,Unknown,Unknown,200,Unknown
,Winter Storm,,,,,,
,Terrorist:,Saint-Jean-sur-Richelieu QC,20-Oct-14,2,1,0,Unknown
,Kidnapping / Murder,,,,,,
,Meteorological - Hydrological:,Southern Quebec,14-Apr-14,0,0,1000,"$13,064,000"
,Flood,,,,,,
,Fire:,LÕIsle-Verte QC,23-Jan-14,32,15,0,Unknown
,Residential,,,,,,
,Meteorological - Hydrological:,Qu_bec,21-Dec-13,6,Unknown,0,Unknown
,Winter Storm,,,,,,
,Transportation accident:,Lac-M_gantic QC,6-Jul-13,47,Unknown,2000,"$58,000,000"
,Rail,,,,,,
,Biological:,Quebec City,31-Jul-12,13,180,0,Unknown
,Epidemic,,,,,,
,Meteorological - Hydrological:,"Quebec, New Brunswick, Nova Scotia, Prince Eward Island, and Newfoundland and Labrador",28-Aug-11,2,Unknown,350,"$153,856,000"
,Hurricane / Typhoon / Tropical Storm,,,,,,
,Meteorological - Hydrological:,Mont_r_gie QC,17-Apr-11,0,0,1651,"$81,612,000"
,Flood,,,,,,
,Meteorological - Hydrological:,Gasp_ and Bonaventure QC,5-Dec-10,0,0,125,"$26,217,000"
,Flood,,,,,,
,Geological:,Val-des-Bois and Gracefield QC,23-Jun-10,0,0,0,Unknown
,Earthquake,,,,,,
,Meteorological - Hydrological:,Wemotaci reserve and La Tuque QC,23-May-10,0,0,1300,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,D_l_age and Mont-Laurier QC,4-Aug-09,0,0,0,"$6,000,000"
,Tornado,,,,,,
,Meteorological - Hydrological:,Notre-Dame-des-Prairies QC,28-Jun-09,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,"Montreal, Alma, La Tuque and Baie-Saint-Paul QC",14-May-09,0,0,0,Unknown
,Storm - Unspecified / Other,,,,,,
,Biological:,Across Canada,1-Apr-09,425,8582,0,Unknown
,Pandemic,,,,,,
,Biological:,Across Canada,1-Aug-08,22,57,0,Unknown
,Epidemic,,,,,,
,Meteorological - Hydrological:,Quebec and New Brunswick,31-Jul-08,2,0,74,"$1,499,116"
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,La Tuque QC,22-Jul-08,0,0,112,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Lanaudière QC,29-Jun-08,0,0,0,Unknown
,Tornado,,,,,,
,Meteorological - Hydrological:,Mont_r_gie and Eastern Townships QC,10-Jun-08,0,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Huntingdon QC,31-May-08,0,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Quebec City QC,28-Apr-08,0,0,290,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Quebec,9-Jan-08,0,0,0,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Matane QC,17-Dec-07,0,0,275,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Gasp_ QC,8-Aug-07,1,0,200,"$14,149,725"
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Sept-ëles QC,27-May-07,0,0,1500,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Gatineau QC,23-Apr-07,0,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Ontario and Quebec,29-Oct-06,0,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Saint-Joseph et Vall_e QC,28-Oct-06,0,0,240,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Sainte-Anne-des-Plaines QC,19-Aug-06,0,0,600,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Hazardous Chemicals:,Boisbriand QC,15-Aug-06,0,0,1500,Unknown
,Fire,,,,,,
,Meteorological - Hydrological:,Mistissini QC,16-Jun-06,0,0,3200,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,"Lorette River, Quebec City QC",26-Sep-05,0,0,700,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Quebec,31-Aug-05,Unknown,Unknown,Unknown,"$9,567,567"
,Flood,,,,,,
,Meteorological - Hydrological:,Chibougamau and James Bay QC,6-Jun-05,0,Unknown,850,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Chisasibi QC,29-May-05,0,0,600,Unknown
,Wildfire,,,,,,
