EVENT CATEGORY	EVENT GROUP	EVENT SUBGROUP	EVENT TYPE	PLACE	EVENT START DATE	COMMENTS	FATALITIES	INJURED / INFECTED	EVACUATED	ESTIMATED TOTAL COST	NORMALIZED TOTAL COST	EVENT END DATE	FEDERAL DFAA PAYMENTS	PROVINCIAL DFAA PAYMENTS	PROVINCIAL DEPARTMENT PAYMENTS	MUNICIPAL COSTS	OGD COSTS	INSURANCE PAYMENTS	NGO PAYMENTS	UTILITY - PEOPLE AFFECTED	MAGNITUDE	
Disaster	Natural	Meteorological - Hydrological	Flood	Red Earth First Nation SK	14/11/2016 12:00:00 AM	Red Earth First Nation SK, July 14-18, 2016. Heavy rain resulted in the flooding of the Carrot River in northern Saskatchewan. The community of Red Earth Cree Nation, located 75 kilometres east of Nipawin, declared a state of emergency and was forced to evacuate 576 residents. The majority of evacuees stayed in Saskatoon at the Henk Ruy’s Soccer Centre, while others stayed in hotels or with family. The communities of Carrot River and the rural municipalities of Moose Range and Arborfield also declared states of emergency but were less impacted by the flood.			576	0.0000	0.0	18/11/2016 12:00:00 AM										
Disaster	Natural	Biological	Epidemic	Alberta and Saskatchewan	26/10/2016 12:00:00 AM	Alberta and Saskatchewan, October 26 to December 21, 2016. In late September, the United States Department of Agriculture (USDA) discovered a case of bovine tuberculosis (TB) found in a cow from Alberta. The USDA then contacted the Canadian Food Inspection Agency (CFIA) whom initiated an investigation into the outbreak. The investigation found that one herd of cattle in Alberta was infected with TB. The one infected herd was located on 18 separate properties. Within the infected herd there were six confirmed cases of TB, including the cow that was slaughtered in the United states. The infection resulted in the quarantine of approximately 26,000 cattle from approximately 50 different properties in both Alberta and Saskatchewan. As a precaution, approximately 10,000 cattle were destroyed in order to stop the spread of the infection. The infection significantly impacted farmers in Alberta and Saskatchewan. The federal government of Canada offered to pay up to $16.7 million for ranchers who suffered agricultural loses due to the TB outbreak.				16700000.0000	16700000.0	21/12/2016 12:00:00 AM	16700000.0000									
Incident	Technology	Hazardous Chemicals	Leak / Spill Release	North Saskatchewan River SK	21/07/2016 12:00:00 AM	North Saskatchewan River SK, July 21, 2016. A pipeline from Husky Energy Inc. ruptured spilling up to 250,000 litres of oil mixed with diluent into the North Saskatchewan River. Signs of the leak were first detected on July 20, however after an initial inspection crews reported that no leak was found. The next day the pipeline was shut off as a precaution, after a few hours oil was spotted in the river and an emergency response team was dispatched. The leak that spread hundreds of kilometres downstream contaminated the waterways of the North Saskatchewan River, which is the primary water source for many communities. On July 23 and 25, the contaminated water reached North Battleford and Prince Albert, where a state of emergency was declared, causing both communities to shut off their water supply intake. In addition, the city of Melfort and the town of Star City were put on a boil-water advisory. Multiple First Nation communities were affected including Muskaday First Nation, which declared a state of local emergency on July 27. As of July 29, oil ceased to be released from the source site and the spill was 40-50 per cent recovered. The spill caused severe environmental damages and clean-up efforts ran the risk of disrupting approximately 3000 archaeological sites located along the waterways.				0.0000	0.0	21/07/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Prairie Provinces	18/07/2016 12:00:00 AM	Prairie Provinces, July 18-20, 2016. Southern regions of the Prairie provinces were overwhelmed by severe storms after weeks of bad weather. A storm system entered northward into southern Alberta where isolated thunderstorms developed along the Alberta foothills. On June 18, the storm eventually grew larger impacting Calgary, Medicine Hat and Dunmore with hail, heavy rain and strong winds as well as tornado warnings. On June 19, the storm system moved across Saskatchewan and Manitoba producing hail and prompting even more tornado warnings. In Saskatchewan, near softball sized hail pelted Stewart Valley and Davison, where a tornado briefly touched down resulting in minimal damages. Parts of southern Manitoba received less severe hail, however a more severe tornado touched down in Long Plain First Nation where there was extensive damages.				0.0000	0.0	20/07/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Alberta and Saskatchewan	15/07/2016 12:00:00 AM	Alberta and Saskatchewan, July 15-16, 2016. A storm system caused hail, heavy rain and flash flooding in parts of southern Alberta and southern Saskatchewan. On July 15, Lethbridge, Alberta was impacted by hail, while Calgary and Arbour Lake experienced localized flooding. On July 16, a torrential down pour consisting of 60 mm of rain in less than one hour hit the town of Swift Current, Saskatchewan, which caused flash flooding. In Alberta the hail damaged the roofs of homes, broke windows and dented vehicles. In Swift Current, flash flooding overwhelmed the city’s storm water system, which resulted in flooded basements and submerged vehicles.				0.0000	0.0	16/07/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Prairie Provinces	08/07/2016 12:00:00 AM	Prairie Provinces, July 8-11, 2016. Severe storms swept through the Prairies from July 8 to 11. On July 8, storms in Alberta impacted Edmonton, Calgary and Redwater where hail and heavy rain resulted in flash flooding. On July 10, the bad weather continued into Saskatchewan where 130 mm of rain fell causing significant flooding in Estevan prompting the declaration of a local state of emergency. There were also reports of numerous funnel clouds in Saskatchewan, including in Battleford and in Humboldt, where a small tornado briefly touched down for roughly 20 seconds. On July 11, the tail end of the storm system moved into Manitoba where some communities received up to 88.9 mm of rain, including Liyodminster, Yorktown, Humboldt and Watrous. The severe thunderstorms that swept through the Prairies resulted in property damage from hail and infrastructure damage from heavy rain, strong winds and lighting, including in Manitoba where wind gusts of over 100 km/h caused power outages due to fallen trees.				0.0000	0.0	11/07/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Prairie Provinces	28/06/2016 12:00:00 AM	Prairie Provinces, June 28-30, 2016. Multiple thunderstorms hit Alberta, Saskatchewan and Manitoba as a warm front moved into the prairies. On June 28, severe thunderstorms formed in Alberta, where Okotoks received 30 cm of hail, Edmonton received up to 75 mm of rain and Calgary was hit by strong winds and lighting that caused trees and two houses to catch fire. On June 29, the storm began to move into southern Saskatchewan and southern Manitoba where hail and heavy rain accompanied by strong winds caused localized flooding. Alberta experienced more bad weather on June 30, where Calgary was impacted by hail, Taber and Strathmore experienced flooding and an EF0 tornado touched down in Ponoka.				0.0000	0.0	30/06/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Alberta, Saskatchewan, Manitoba and Ontario	24/06/2016 12:00:00 AM	Alberta, Saskatchewan, Manitoba and Ontario, June 24-25, 2016. A large storm system caused bad weather throughout the Prairies and parts of northern Ontario. On June 24, widespread and severe thunderstorms caused heavy rain, strong winds, hail and lighting in southern Saskatchewan, while southern Manitoba experienced hail, wind gusts of up to 124 km/h and up to 138 mm of rain. In parts of southern Saskatchewan and Manitoba powerful winds uprooted trees and downed power lines, while flooding caused damages to roads, homes and businesses. In Manitoba, a voluntary evacuation was issued for the communities of Caddy Lake and Whiteshell due to flooding. On June 25, the storm system moved into northern Ontario where it caused significant flooding in Thunder Bay, which received 50 mm of rain in three hours.				0.0000	0.0	25/06/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Alberta and Saskatchewan	22/07/2015 12:00:00 AM	Alberta and Saskatchewan, July 22, 2015. Severe thunderstorms affected the southern Alberta region before moving into Saskatchewan. A storm system southwest of Calgary produced a small tornado that touched down in the Tsuu T’ina Nation at 12:53 MTZ as well as multiple funnel clouds, which were spotted in the Calgary area. The impact of the tornado was minimal, however the proximity of the tornado to a highly populated area like Calgary created an extremely high level of risk. Southern areas of Calgary including Canyon Meadows and Lake Bonavista were hit with large hail and as the storm moved east, Hussar, Patricia and Strathmore were impacted by strong wind gusts that downed trees over power lines resulting in localized power outages. A severe thunderstorm warning was in effect at the time meaning that wind gusts exceeded 90 km/h and hail was greater than two cm. The storm later reached Saskatchewan where the town of Kerrobert was hit with severe hail, prompting a state of emergency to be declared. Other communities in Saskatchewan such as Anglin Lake, Francis, Sedley and Regina were impacted by strong winds, heavy rain, hail and lighting. Golf-ball sized hail caused the most significant damages during the storm, including damages to roofs, windows and vehicles.				0.0000	0.0	22/07/2015 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Wildfire	Northern Saskatchewan	01/07/2015 12:00:00 AM	Northern Saskatchewan, July 1-18, 2015. The 2015 wildfire season in Saskatchewan featured an unprecedented number of wildfires that consequently caused the biggest fire evacuation effort in Saskatchewan’s history to date. More than 13,000 people from 54 different communities had to be evacuated from their homes in Northern Saskatchewan due to over 720 wildfires that burned nearly 1.8 million hectares of land. The two most severely impacted communities were La Ronge and Montreal Lake. Approximately 7,900 residents of La Ronge Indian Band were forced to evacuate, while in Montreal Lake approximately 1,500 residents evacuated due to several wildfires that destroyed six buildings in the area. Up to 1,500 members of the Canadian Armed Forces were sent to the La Ronge area to assist firefighters.			13000	92191000.0000	93501772.5	18/07/2015 12:00:00 AM	92191000.0000									
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Prairie Provinces	12/06/2015 12:00:00 AM	Prairie Provinces, June 12, 2015. A massive storm system moved through the prairies causing severe thunderstorms to occur throughout the prairie provinces starting in central Alberta and Saskatchewan. Parts of southern Alberta experienced thunderstorms including High River, Brooks and Taber. The storm intensified near Medicine Hat where there was hail and strong winds that caused damages throughout the city. Approximately 9000 people in Alberta lost power due to downed power lines. The storm later moved into Saskatchewan near maple Creek with hail and estimated wind gusts of up to 120 km/h. As the storm travelled eastward, Assiniboia and Weyburn sustained damages from hail. A large part of the storm moved into Manitoba, bringing heavy rain, strong winds and hail that impacted Virden causing extensive damages.				0.0000	0.0	12/06/2015 12:00:00 AM								9000		
Disaster	Natural	Meteorological - Hydrological	Flood	Southern Saskatchewan	25/06/2014 12:00:00 AM	Southern Saskatchewan, June 25 to July 14, 2014. Heavy rain across southeastern Saskatchewan led to localized overland flooding, road washouts, highway closures, and local power outages. The affected basins were the Souris, Lower Qu’Appelle and Assiniboine. Some areas in southeastern Saskatchewan reported up to 240 mm of precipitation in less than two days. Over 68 municipalities declared local states of emergency. In Melville, St. Peter’s hospital evacuated 150 acute care patients due to rising flood waters. The Trans-Canada Highway was washed out in several sections and CN rail was heavily impacted on its regional lines. Peak flow levels on the Assiniboine and Qu’Appelle rivers exceeded that of the 2011 flood.	0	0	500	19387000.0000	19882514.4	14/07/2014 12:00:00 AM	19387000.0000									
Disaster	Natural	Meteorological - Hydrological	Flood	Cumberland House SK	29/04/2013 12:00:00 AM	Cumberland House SK, April 29 to July 03, 2013. Higher-than-normal snow fall and lower temperatures delayed the annual spring melt until the end of April. Over 15 communities declared states of emergencies between April and June as flood waters rose throughout the province. Overland flooding occurred between Moose Jaw and Indian Head, including parts of Regina and south past Weyburn to the U.S border. Significant damage occurred on parts of Highways 2 and 3 that were washed out by the flood waters. Flood waters flowing east on the South Saskatchewan River from Alberta following the June 19 flash floods reached a peak flow of 6000 cubic metres per second, the highest ever recorded, flowing into the Lake Diefenbaker Reservoir. Between June 23 and 28 the Saskatchewan Water Security Agency began releasing water from the reservoir at a rate of 2000 cubic metres per second, leading to a two-metre rise in the river downstream. As a result, 2,200 residents of Cumberland House were evacuated to Prince Albert and Saskatoon. On July 3, 2013 the evacuation order was lifted and residents began to return to the community. 

*Note: A request for federal assistance through the DFAA program has been made.	0	0	3000	43309000.0000	45284003.3	03/07/2013 12:00:00 AM	43309000.0000									
Disaster	Natural	Meteorological - Hydrological	Flood	Weyburn and Estavan SK	17/06/2011 12:00:00 AM	Weyburn and Estavan SK, June 17-28, 2011. A local state of emergency was issued on June 17, because of extensive flooding in the City of Weyburn and Estavan, Saskatchewan. Throughout the province, 19 municipalities declared local states of emergency. Approximately 200 homes were known to be affected in Weyburn, where there was 112 mm of rain. On June 17, Estavan received 27 mm of rain over night and 383 residents were evacuated from a mobile trailer park. On June 18, officials reported that the capacity of the treatment plant had exceeded its limit, and Environment Canada granted permission to pump sewage directly into the Souris River. Repairs were conducted at the treatment plant to address the capacity issue. SaskPower reported scattered and localized power outages throughout the region. Residents in most areas were given permission to return to their homes on June 28.	0	0	383	0.0000	0.0	28/06/2011 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Wildfire	Hall Lake SK	12/06/2011 12:00:00 AM	Hall Lake SK, June 12-14, 2011. On June 12, the Saskatchewan Emergency Management Organization reported a 25 to 40 hectare wildfire burning approximately three to four kilometers from the La Ronge First Nation subcommunity of Hall Lake. In total, there were 440 residents evacuated. As of June 14, the wildfire was no longer considered to be a direct threat to residents, and the evacuation order was lifted.	0	0	440	0.0000	0.0	14/06/2011 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Wildfire	Wollaston Lake SK	02/06/2011 12:00:00 AM	Wollaston Lake SK, June 2 to 9, 2011. On June 1, the Saskatchewan Emergency Organization reported that a 500 hectare fire was burning approximately 1.5 kilometres southwest of the community of Wollaston Lake. Winds blowing in from the southwest caused the fire and smoke to encroach upon the community, and the fire increased to 1,100 hectares by the following day. On June 2, a total of 1,137 residents were evacuated but damages to structures had not been reported at that time.	0	0	1137	0.0000	0.0	09/06/2011 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	North Battleford SK	22/07/2010 12:00:00 AM	North Battleford SK, July 22, 2010.  A sudden and severe downpour of rain caused extensive flooding in the city of North Battleford.  A local state of emergency was declared and 97 homes were flooded. The Red Cross provided food and accommodations to 45 people from 11 families.	0	0	45	112000.0000	123440.3	22/07/2010 12:00:00 AM	112000.0000							0	0.0	
Disaster	Natural	Meteorological - Hydrological	Tornado	Saskatchewan	29/06/2010 12:00:00 AM	Saskatchewan, June 29 to July 2, 2010. Saskatoon was struck by severe weather on June 29. The following day numerous municipalities from Prince Albert to Davidson were affected by heavy rain. On July 1, the storm moved south while another system moved in from the north. On July 2, an F3 tornado touched down at approximately 17:30 CST in Kawacatoose First Nation, near the town of Raymond. The tornado produced wind speeds of up to 330 km/h and left a path of destruction that was 500 metres wide and 45 kilometres in length. The tornado destroyed 18 homes in the small First Nations community. There were no fatalities or reported injuries, although 85 people were left homeless in the wake of the tornado.	0	0	85	13239000.0000	14591309.9	02/07/2010 12:00:00 AM	12881000.0000				358000.0000			0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Southern Alberta and Saskatchewan	17/06/2010 12:00:00 AM	Southern Alberta and Saskatchewan, June 17, 2010. Record rainfall resulted in extensive flooding in Alberta and Saskatchewan, washing out a portion of the Trans-Canada highway and shutting down part of the Canadian Pacific rail line. Fourty people from the Blood Tribe reserve, 75 homes in Maple Creek, and 600 households in Medicine Hat were forced to evacuate. Disaster financial assistance was provided by both provinces.	0	0	2065	1031670000.0000	1137050884.1	17/06/2010 12:00:00 AM	75320000.0000		206350000.0000		750000000.0000			0	0.0	
Disaster	Natural	Biological	Pandemic	Across Canada	01/04/2009 12:00:00 AM	Across Canada, April 1, 2009 to February 1, 2010. A new strain of pandemic influenza. The first cases were seen in Mexico and it spread quickly across the globe. In Canada, there were 8,582 hospitalizations, 1,448 cases admitted to the intensive care unit (ICU) and 425 deaths.	425	8582	0	0.0000	0.0	01/02/2010 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Drought	Saskatchewan and Alberta	01/03/2009 12:00:00 AM	Saskatchewan and Alberta, March 1 to July 1, 2009.  The Canadian Wheat Board projected lower crop prospects by 20 per cent across the Prairies. A dozen counties and municipal districts in Alberta declared a state of drought emergency or disaster. For example, Saskatoon had less than one-quarter of the usual amount of spring precipitation, making the months of March, April and May the driest since record-keeping began in 1892. It wasn't just spring that was dry. The soil moisture recharge period between September 1, 2008 and March 31, 2009 had less than 60 per cent of normal precipitation. To the west, in Alberta, conditions were even drier, as illustrated by precipitation amounts in Edmonton, where the 12- month total rain and snow from July 2008 to June 2009 was only 234 mm, less than half of normal and the driest such period with records dating back to 1880. Making matters worse, eight of the last ten years in Alberta's capital of Edmonton had less rain and snow than the 30-year average total, but no year was as scanty as the most recent. Not surprisingly, the flow of the North Saskatchewan River was at its third lowest level in nearly a century.	0	0	0	0.0000	0.0	01/07/2009 12:00:00 AM								0	0.0	
Disaster	Natural	Biological	Epidemic	Across Canada	01/08/2008 12:00:00 AM	Across Canada, August 1, 2008. Listeria monocytogenes spread by contaminated Maple Leaf food products produced at its Bartor Road plant. The outbreak occurred in August 2008. A segment of the population that is most vulnerable became exposed. 57 people became seriously ill and 22 people died.	22	57	0	0.0000	0.0	01/08/2008 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Regina SK	22/07/2008 12:00:00 AM	Regina SK, July 22, 2008. Wicked weather wreaked havoc across Regina, with wind gusts up to 92 km/h and 11.2 mm of rain. The squall left about 5000 customers (15,000 individuals) in parts of north and east Regina without power.	0	0	0	0.0000	0.0	22/07/2008 12:00:00 AM								15000	0.0	
Disaster	Natural	Meteorological - Hydrological	Wildfire	Deschambault Lake SK	01/07/2008 12:00:00 AM	Deschambault Lake SK, July 1-6, 2008. A large wildfire threatened the community of Deschambault Lake in northern Saskatchewan. The fire was only 1.5 kilometres away from the community before it was redirected by firefighters using a technique called "back burning," which involves igniting a controlled burn in front of the fire in order to reduce the amount of fuel. Approximately 1000 residents were evacuated on July 1 and did not return home until July 6.	0	0	1000	0.0000	0.0	06/07/2008 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Wildfire	Northern Saskatchewan	30/06/2008 12:00:00 AM	Northern Saskatchewan, June 30, 2008. Approximately 2,500 people from the communities of Sandy Bay, Stony Rapids, Pelican Narrows, Black Lake and Uranium City in Saskatchewan's far north have been forced out of their homes due to 64 forest fires.	0	0	2500	0.0000	0.0	30/06/2008 12:00:00 AM								0	0.0	
