,Event Type,Place,Event Start Date,Fatalities,Injured / Infected,Evacuated,Normalized Total Cost (2016)
,Geological:,Nepal,25-Apr-15,2,Unknown,450,"$5,071,090"
,Earthquake,,,,,,
,Geological:,Japan,11-Mar-11,1,Unknown,Unknown,Unknown
,Earthquake,,,,,,
,Civil Incident:,Libya,15-Feb-11,Unknown,Unknown,203,Unknown
,Disturbance / Demonstrations,,,,,,
,Geological:,"Eyjafjallaj_kull glacier, Iceland",14-Apr-10,0,0,1200,Unknown
,Volcano,,,,,,
,Geological:,"Port-au-Prince, Haiti",12-Jan-10,58,31,4620,"$826,609,442"
,Earthquake,,,,,,
,Biological:,Across Canada,1-Apr-09,425,8582,0,Unknown
,Pandemic,,,,,,
,Geological:,East Indian Ocean,26-Dec-04,20,Unknown,Unknown,Unknown
,Tsunami,,,,,,
,Infrastructure failure:,"Ontario, Midwest and Northeast USA",14-Aug-03,Unknown,Unknown,Unknown,Unknown
,Energy,,,,,,
,Hijacking:,"New York City, NY, U.S.A.",11-Sep-01,24,Unknown,Unknown,Unknown
,Air,,,,,,
,Transportation accident:,Saudi Arabia,11-Jul-91,261,0,0,Unknown
,Air,,,,,,
,Terrorist:,North Atlantic near west coast of Ireland,23-Jun-85,329,0,0,Unknown
,Bomb Attacks,,,,,,
,Transportation accident:,"Cincinnati. Ohio, USA",2-Jun-83,23,18,0,Unknown
,Air,,,,,,
,Transportation accident:,"Toyko, Japan",4-Mar-66,64,0,0,Unknown
,Air,,,,,,
