EVENT CATEGORY	EVENT GROUP	EVENT SUBGROUP	EVENT TYPE	PLACE	EVENT START DATE	COMMENTS	FATALITIES	INJURED / INFECTED	EVACUATED	ESTIMATED TOTAL COST	NORMALIZED TOTAL COST	EVENT END DATE	FEDERAL DFAA PAYMENTS	PROVINCIAL DFAA PAYMENTS	PROVINCIAL DEPARTMENT PAYMENTS	MUNICIPAL COSTS	OGD COSTS	INSURANCE PAYMENTS	NGO PAYMENTS	UTILITY - PEOPLE AFFECTED	MAGNITUDE	
Disaster	Natural	Meteorological - Hydrological	Flood	Nova Scotia, Prince Edward Island and Newfoundland	09/10/2016 12:00:00 AM	Nova Scotia, Prince Edward Island and Newfoundland, October 9-13, 2016. Atlantic Canada was hit with heavy rain as a result of the remnants of Hurricane Matthew. Wind and heavy rainfall warnings were in affect from October 10 to 11 for northeastern Nova Scotia and Newfoundland. On October 10, 150 mm of rain fell on Newfoundland. The town of Burgeo alone received 120 mm of rain, which caused the closure of Highway 480. St-Alban’s declared a state of emergency due to various road closures including the Swanger’s Cove Bridge on route 361, which was reported to have been damaged and was deemed unusable by the Newfoundland Public Safety Regional Office. Road closures in St-Alban’s resulted in the isolation of numerous homes. In Nova Scotia, over 220 mm of rain was reported across the province. The J.A. Douglas McCurdy Sydney Airport was forced to close all runways. Cape Breton was hard hit by the heavy rain, which resulted in property damage to approximately 300 homes. Most severely impacted was Eskasoni First Nation where 100 homes were flooded and an undetermined number of people evacuated due to high water levels. On October 11, there were 16 states of emergency in Newfoundland where Bager and Gander received 131 mm and 124 mm of rain. While there no states of emergency declared in Nova Scotia, NS Power reported that approximately 130,000 customers (390,000 individuals) had experienced power outages. Prince Edward Island received 73 mm of rain, which left approximately 600 residents without power. Ferries in Nova Scotia and Newfoundland were closed due to eight-metre high waves caused by the storm. The Canadian Armed Forces assisted with sandbagging efforts as water levels continued to rise until October 12. It was not until October 13 when water levels began to drop in certain areas, however in Newfoundland water levels remained at a record high. Power was restored to all customers in Nova Scotia and Prince Edward Island by October 13.				30350000.0000	30350000.0	13/10/2016 12:00:00 AM	30350000.0000							390600		
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Ontario, Quebec, New Brunswick, Nove Scotia, Prince Edward Island and Newfoundland	24/02/2016 12:00:00 AM	Ontario, Quebec, New Brunswick, Nove Scotia, Prince Edward Island and Newfoundland, February 24-26, 2016. A storm system tracked its way northeast into the Great Lakes from the United States in late February. The system moved towards eastern Canada, causing widespread damages to Ontario, Quebec, New Brunswick, Nova Scotia, Prince Edward Island and Newfoundland. On February 24, freezing rain caused up to 25 mm of ice accumulation to build in parts of Ontario, Quebec and New Brunswick. On February 25, Quebec and New Brunswick experienced several hours of continued freezing rain. Heavy rain and thunderstorms trailed behind the freezing rain resulting in total rainfalls of 51 mm in Hamilton, Ontario, 36 mm in Lennoxville, Quebec and 68 mm in Gray River, Newfoundland. A combination of rain and mild weather that melted ice and snow resulted in localized flooding for numerous communities. Flooded basements were reported in Cornwall, Ontario, multiple underpasses were closed due to flooding in Montreal, Quebec, while local fire departments in northern New Brunswick warned drivers of poor road conditions due to ice ruts and isolated flooding. Multiple local states of emergency were declared in the Eastern Townships of Quebec where ice breakup resulted in the flooding of local rivers. Approximately 200 residents were evacuated and over 50 homes in Beauceville, Quebec were damaged by floodwaters. Fallen trees weighed down by the heavy ice and snow damaged power lines resulting in widespread power outages. Quebec was hit the hardest with over 250,000 hydro customers (approximately 750,000 individuals) affected by the power outages.			200	0.0000	0.0	26/02/2016 12:00:00 AM								750000		
Disaster	Natural	Meteorological - Hydrological	Wildfire	Northwest River and Sheshatshiu NL	24/06/2012 12:00:00 AM	North West River and Sheshatshiu NL, June 24-25, 2012. Two local states of emergency were declared when wildfires threatened the communities of North West River and Sheshatshiu. There were over 1000 residents who had to be evacuated and air lifted to safety. Approximately 700 evacuees were accommodated at Canadian Forces Base Goose Bay and 300 were accommodated in emergency housing in Happy Valley-Goose Bay. The evacuation order was lifted on June 25 and residents were allowed to return to their homes.	0	0	1000	0.0000	0.0	25/06/2012 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Wildfire	Sheshatshiu NL	23/06/2012 12:00:00 AM	North West River and Sheshatshiu NL, June 23-25, 2012. On June 23, the Department of Natural Resources Forestry Division recommended a mandatory evacuation of the communities of North West River and Sheshatshiu First Nation, located approximately 20 kilometers north of Goose Bay, due to smoke and the threat from wildfires. On June 24, both communities declared local states of emergency with residents being placed under immediate evacuation order. Fire and Emergency Services - Newfoundland and Labrador (FES-NL) coordinated the Provincial Government response activities in Labrador and a Provision of Service agreement with the Department of National Defence (DND) was activated.  Approximately 800 people were housed at Canadian Forces Base (CFB) Goose Bay and another approximate 300 people were also accommodated in emergency housing in Happy Valley-Goose Bay.  Many individuals also stayed with family, friends or in private accommodations in the Happy Valley-Goose Bay area.  The evacuation order was lifted on June 25 and the evacuees returned home.			1100	0.0000	0.0	25/06/2012 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Hurricane / Typhoon / Tropical Storm	Quebec, New Brunswick, Nova Scotia, Prince Eward Island, and Newfoundland and Labrador	28/08/2011 12:00:00 AM	Quebec, New Brunswick, Nova Scotia, Prince Edward Island and Newfoundland and Labrador, August 28-30, 2011. Hurricane Irene, the storm that caused over 40 deaths and billions of dollars in damages in the United States, moved north into Canada affecting parts of Quebec and the Maritime provinces. The 400 kilometre-wide Post-Tropical storm produced heavy rain and strong gusts of wind, which downed trees and power lines. Parts of Quebec received more than 100 mm of rain and wind gusts of up to 113 km/h. On August 28, Hydro-Quebec reported approximately 250,000 customers (750,000 individuals) without power and by August 29, only 80,000 households were without power. The storm was responsible for two deaths in Quebec; one man died while attempting to reach his family in the storm, while another went missing and is presumed dead when his car was washed down river. Approximately 350 residents were evacuated in Quebec. Strong winds produced six-metre waves over western Maritime waters. Some parts of Labrador received up to 40 mm of rain overnight, while Doaktown and Fredricton New Brunswick received 89 mm and 53 mm respectively. Approximately 50,000 households (150,000 individuals) in New Brunswick and 8000 (24,000 individuals) households in Nova Scotia were without power during the height of the storm.	2		350	153856000.0000	164763222.7	30/08/2011 12:00:00 AM	16056000.0000					137800000.0000		1169000		
Disaster	Natural	Meteorological - Hydrological	Hurricane / Typhoon / Tropical Storm	Newfoundland and Labrador	21/09/2010 12:00:00 AM	Newfoundland and Labrador, September 21, 2010. Hurricane Igor hit Newfoundland and Labrador at 12:30 NDT, causing extensive damages. At the height of the hurricane, wind speeds in some areas were in excess of 170 km/h with rainfall reaching nearly 240 mm in some parts of the province. Approximately 150 communities were isolated due to washouts and road closures, and 30 communities had declared states of emergency. Over 30,000 calls were made to the Emergency Operations Centre and over 100 families (300 individuals) were displaced. An 80-year-old man died when he was swept into the ocean during the storm.  The Canadian Forces deployed 1000 troops to assist in the wake of the disaster. Canada Revenue Agency also provided tax relief measures to taxpayers affected by Hurricane Igor in Newfoundland and Labrador.	1	0	300	85507690.0000	94241951.9	21/09/2010 12:00:00 AM	85507690.0000							0	0.0	
Disaster	Natural	Biological	Pandemic	Across Canada	01/04/2009 12:00:00 AM	Across Canada, April 1, 2009 to February 1, 2010. A new strain of pandemic influenza. The first cases were seen in Mexico and it spread quickly across the globe. In Canada, there were 8,582 hospitalizations, 1,448 cases admitted to the intensive care unit (ICU) and 425 deaths.	425	8582	0	0.0000	0.0	01/02/2010 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Hurricane / Typhoon / Tropical Storm	Maritime Provinces	28/09/2008 12:00:00 AM	Maritime Provinces, September 28, 2008. Tropical storm Kyle, made landfall with Atlantic Canada between the Yarmouth and Digby counties in western Nova Scotia at 21:30 ADT on September 28. Kyle covered more than 1000 kilometres as it moved north-northeast from the United States before reaching Canada as a Category 1 storm with wind gusts of 120 km/h. The storm brought heavy rain to New Brunswick and Quebec, with parts of New Brunswick receiving up to 72 mm of rain. Power outages were reported in all three Maritime provinces. Nova Scotia had over 40,000 customers (approximately 120,000 individuals) lost power. The storm also produced an estimated storm surge of 80 cm.	0	0	0	0.0000	0.0	28/09/2008 12:00:00 AM								120000	0.0	
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Gander, Hare Bay and Swift Current NL	30/07/2008 12:00:00 AM	Gander, Hare Bay and Swift Current NL, July 30, 2008. A weather system, beginning west of the town of Gander extending east to Hare Bay, and south to Swift Current, caused severe thunderstorms and heavy rain.  This resulted in damage to private property and provincial infrastructure.	0	0	0	644956.0000	725787.5	30/07/2008 12:00:00 AM	644956.0000							0	0.0	
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Martime Provinces	04/12/2007 12:00:00 AM	Maritime provinces, December 4, 2007. A powerful storm that dumped up to 40 cm of wet, heavy snow on parts of Atlantic Canada knocked out power in all four provinces leaving approximately 50,000 people without electricity.	0	0	0	0.0000	0.0	04/12/2007 12:00:00 AM								50000	0.0	
