EVENT CATEGORY	EVENT GROUP	EVENT SUBGROUP	EVENT TYPE	PLACE	EVENT START DATE	COMMENTS	FATALITIES	INJURED / INFECTED	EVACUATED	ESTIMATED TOTAL COST	NORMALIZED TOTAL COST	EVENT END DATE	FEDERAL DFAA PAYMENTS	PROVINCIAL DFAA PAYMENTS	PROVINCIAL DEPARTMENT PAYMENTS	MUNICIPAL COSTS	OGD COSTS	INSURANCE PAYMENTS	NGO PAYMENTS	UTILITY - PEOPLE AFFECTED	MAGNITUDE	
Disaster	Natural	Meteorological - Hydrological	Wildfire	Northwest Territories	01/06/2014 12:00:00 AM	Northwest Territories, July 1 to September 18, 2014. Abnormally dry conditions and high temperatures fed peak wildfire conditions during the 2014 fire season. By mid-July, 168 separate fires were burning throughout the territory. Voluntary and mandatory evacuations were issued in June and July, most notably in the town of Kakisa where 60 residents were evacuated to Hay River and Fort Providence. The Taltson hydroelectric facility was temporarily shut down as a precautionary measure due to fires that threatened the main transmission lines. By the end of the wildfire season, over 3.5 million hectares of land was burned, the most in over 30 years. In total, 385 fires burned throughout the territory in 2014, 57 per cent more than the annual average. The Government of the Northwest Territories spent $55 million dollars fighting wildfires in 2014, more than eight times the average cost.	0	0	60	55000000.0000	56405750.8	18/09/2014 12:00:00 AM			55000000.0000							
Disaster	Natural	Meteorological - Hydrological	Flood	Yukon, Northwest Territories and British Columbia	06/06/2012 12:00:00 AM	Yukon, Northwest Territories and British Columbia, June 6-30, 2012. More than 70 mm of precipitation from a low-pressure weather system combined with spring snowmelt caused widespread flooding in Upper Liard, Yukon, Nahanni Butte, Northwest Territories, and Lower Post, British Columbia. Approximately 20 people from Upper Liard, 80 people from Nahanni Butte, and 37 people from Lower Post were evacuated. Approximately 2,500 people, including over 300 commercial transport trucks, experienced traffic delays in the region because of highway washouts. There was extensive damage to transportation corridors as well as approximately 25 buildings in areas affected by the flooding. Floodwaters began receding on June 16. Residents were allowed to return home at the end of June.	0	0	137	1503748.0000	1586534.5	30/06/2012 12:00:00 AM	1503748.0000									
Disaster	Natural	Biological	Pandemic	Across Canada	01/04/2009 12:00:00 AM	Across Canada, April 1, 2009 to February 1, 2010. A new strain of pandemic influenza. The first cases were seen in Mexico and it spread quickly across the globe. In Canada, there were 8,582 hospitalizations, 1,448 cases admitted to the intensive care unit (ICU) and 425 deaths.	425	8582	0	0.0000	0.0	01/02/2010 12:00:00 AM								0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Hay River NT	05/05/2008 12:00:00 AM	Hay River NT, May 5-7, 2008. Ice jams in the Hay River forced water to rise over its banks, creating flood conditions for nearby residents. Approximately 600 people from Vale Island, situated at the mouth of Hay River and Great Slave Lake, fled from their homes as a voluntary evacuation order was issued May 5. Many homes and business were flooded and damaged from debris carried by the rising water. At the Katlodeeche First Nation reserve, floodwaters knocked out the old Anglican Church off its foundation as well as flooded the Roman Catholic Church.	0	0	600	460000.0000	517651.2	07/05/2008 12:00:00 AM	460000.0000							0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Aklavik NT	27/05/2006 12:00:00 AM	Aklavik NT, May 27, 2006. The remote community of Aklavik was buried under several feet of water after the Peel River channel overflowed its banks due to melting ice. Residents of the low-lying town were forced to evacuate due to flooding. Approximately 300 residents left their homes and fled to the nearby town of Inuvik located 55 kilometres away. The flooding caused severe infrastructure damage, including damages to roads as well as the town’s sewage system.	0	0	300	3140829.0000	3696447.7	27/05/2006 12:00:00 AM	3140829.0000							0	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Fort Good Hope NT	11/05/2005 12:00:00 AM	Fort Good Hope NT, May 11-14, 2005. Jackfish Creek and Rabbitskin River rose to the point that 10 families and 8 seniors had to leave their Fort Good Hope homes. A state of emergency was declared.	0		50	647617.0000	777140.4	14/05/2005 12:00:00 AM	647617.0000							0	0.0	
Disaster	Natural	Meteorological - Hydrological	Wildfire	Norman Wells NT	21/07/2003 12:00:00 AM	Norman Wells, NT, July 21, 2003. Lightening started a fire in an on old-growth black spruce forest approximately 17 km from Norman Wells. The fire was sustained by high temperatures and gusting winds. Norman Wells declared a state of emergency. About 100 people were evacuated due to thick smoke. Those with respiratory problems, the elderly, and the young were evacuated by plane to Inuvik while others were sent to nearby communities via boat.	0		100	121846.0000	152189.0	21/07/2003 12:00:00 AM	39640.0000	82206.0000						0	0.0	
Disaster	Natural	Meteorological - Hydrological	Wildfire	Tibbet Lake NT	22/07/1998 12:00:00 AM	Tibbet Lake, NT, July 22-31, 1998. A State of Emergency was declared when a 60000 ha fire was burning in the area of Tibbet Lake. The area north of Powder Point on Ingraham Trail was evacuated and Ingraham Trail was closed to all traffic. The fire destroyed three vacation cabins and edged within 5 km of cabins and lodges around Consolation Lake, 70 km northeast of Yellowknife. On July 31, the fire reached 140000 ha in size.	0	0	5	12044118.0000	16938277.7	31/07/1998 12:00:00 AM			12044118.0000					0	0.0	
Disaster	Natural	Meteorological - Hydrological	Wildfire	Sahtu Region of the Northwest Territories	06/06/1995 12:00:00 AM	Sahtu region of the Northwest Territories, June 6-15, 1995.  A Forest fire was first sited in Fort Norman (in the Hamlet of Tulita), and then spread to Norman Wells, Yellowknife and Deline. The fires were started by lightning strikes. Damage was incurred by provincial, municipal and private property.  Fort Norman was evacuated on June 6, and Norman Wells was evacuated on June 9. Norman Wells was under a State of Emergency from June 814.	0	0	950	3432310.0000	5030920.1	15/06/1995 12:00:00 AM	504871.0000	202377.0000	2725062.0000					0	0.0	
Disaster	Natural	Meteorological - Hydrological	Storm Surge	Tuktoyaktuk and Mackenzie Delta NT	23/09/1993 12:00:00 AM	Tuktoyaktuk and Mackenzie Delta NT, September 22, 1993. A severe storm with winds from the northwest of up to 96 km/h generated a 1.68 m surge and raised water levels to 2.2 m above chart datum. Coincident with approximately 90% open water offshore, waves were relatively powerful and, together with the high water levels, resulted in damage to or destruction of about half the shore protection at Tuktoyaktuk, and flooding in the community and parts of the Mackenzie Delta.	0	0	0			23/09/1993 12:00:00 AM								0	0.0	
