,Event Type,Place,Event Start Date,Fatalities,Injured / Infected,Evacuated,Normalized Total Cost (2016)
,Meteorological - Hydrological:,Windsor and Tecumseh ON,29-Sep-16,Unknown,Unknown,Unknown,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Southern Ontario,8-Jul-16,Unknown,Unknown,Unknown,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Kenora ON,27-Jun-16,Unknown,Unknown,Unknown,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,"Alberta, Saskatchewan, Manitoba and Ontario",24-Jun-16,Unknown,Unknown,Unknown,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Kashechewan First Nation ON,27-Apr-16,Unknown,Unknown,1207,Unknown
,Flood,,,,,,
,Fire:,Pikangikum First Nation ON,29-Mar-16,9,Unknown,Unknown,Unknown
,Residential,,,,,,
,Geological:,Horton ON,28-Mar-16,Unknown,Unknown,Unknown,Unknown
,Landslide,,,,,,
,Meteorological - Hydrological:,Southern Ontario,23-Mar-16,Unknown,Unknown,Unknown,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,"Ontario, Quebec, New Brunswick, Nove Scotia, Prince Edward Island and Newfoundland",24-Feb-16,Unknown,Unknown,200,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Southern Ontario,2-Aug-15,Unknown,6,Unknown,Unknown
,Tornado,,,,,,
,Meteorological - Hydrological:,Southern Ontario,22-Jun-15,Unknown,Unknown,Unknown,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Fort Albany and Kashcewan First Nation,17-Apr-15,Unknown,Unknown,1333,Unknown
,Flood,,,,,,
,Transportation accident:,Gogama and Mattagami First Nation ON,7-Mar-15,Unknown,Unknown,Unknown,Unknown
,Rail,,,,,,
,Terrorist:,Ottawa ON,22-Oct-14,2,0,0,Unknown
,Shootings,,,,,,
,Meteorological - Hydrological:,Southern Ontario,21-Dec-13,2,25,0,"$274,765,170"
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Toronto ON,8-Jul-13,0,0,0,"$982,866,450"
,Flood,,,,,,
,Meteorological - Hydrological:,Kasabonika Lake First Nation ON,27-May-13,0,0,150,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Sandy Lake First Nation ON,31-Jul-12,0,0,637,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Thunder Bay ON,28-May-12,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Timmins ON,24-May-12,0,0,1000,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Kirkland Lake ON,20-May-12,0,0,300,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Fort Albany and Kashechewan First Nations ON,24-Mar-12,Unknown,Unknown,269,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Kashechewan and Fort Albany ON,24-Mar-12,0,0,269,"$7,068,858"
,Flood,,,,,,
,Transportation accident:,Burlington ON,26-Feb-12,3,45,0,Unknown
,Rail,,,,,,
,Meteorological - Hydrological:,Goderich ON,21-Aug-11,1,37,Unknown,Unknown
,Tornado,,,,,,
,Meteorological - Hydrological:,Northern Ontario,6-Jul-11,0,0,3300,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Mishkeegogamang Ojibway First Nation (New Osnaburgh) ON,21-Jun-11,Unknown,Unknown,423,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Lambton County ON,12-Dec-10,1,1,625,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Midland ON,23-Jun-10,0,20,0,"$18,736,481"
,Tornado,,,,,,
,Meteorological - Hydrological:,Leamington ON,6-Jun-10,0,0,0,"$110,215"
,Tornado,,,,,,
,Meteorological - Hydrological:,Chapleau ON,27-May-10,0,0,0,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,"Toronto, Windsor, Vaughan and Newmarket ON",20-Aug-09,1,0,0,Unknown
,Tornado,,,,,,
,Meteorological - Hydrological:,Hamilton and Toronto ON,26-Jul-09,0,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,"Ottawa, Toronto and Windsor ON",25-Apr-09,0,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Biological:,Across Canada,1-Apr-09,425,8582,0,Unknown
,Pandemic,,,,,,
,Meteorological - Hydrological:,Kingston ON,15-Sep-08,0,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Explosion:,Toronto ON,10-Aug-08,2,58,12000,Unknown
,Non-Residential,,,,,,
,Biological:,Across Canada,1-Aug-08,22,57,0,Unknown
,Epidemic,,,,,,
,Explosion:,Toronto ON,20-Jul-08,0,10,900,Unknown
,Residential,,,,,,
,Meteorological - Hydrological:,James Bay ON,9-May-08,0,0,1200,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Albany River ON,25-Apr-08,0,0,1900,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Trent Hills ON,17-Apr-08,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Belleville ON,14-Apr-08,0,0,18,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Port Bruce ON,18-Feb-08,0,0,300,Unknown
,Flood,,,,,,
,Fire:,Hamilton ON,3-Jun-07,0,0,345,Unknown
,Non-Residential,,,,,,
,Fire:,Windsor ON,25-May-07,0,0,2000,Unknown
,Non-Residential,,,,,,
,Meteorological - Hydrological:,Northwest Ontario,13-May-07,0,0,300,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Russell ON,1-Dec-06,0,0,0,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Ontario and Quebec,29-Oct-06,0,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Hazardous Chemicals:,Amherstburg ON,15-Aug-06,0,3,1000,Unknown
,Fire,,,,,,
,Meteorological - Hydrological:,Kashechewan ON,23-Apr-06,0,0,1100,Unknown
,Flood,,,,,,
,Biological:,Kashechewan ON,26-Oct-05,Unknown,Unknown,1100,Unknown
,Infestation,,,,,,
,Biological:,Toronto ON,24-Sep-05,23,112,Unknown,Unknown
,Epidemic,,,,,,
,Meteorological - Hydrological:,Southern Ontario,19-Aug-05,0,4,0,"$600,000,000"
,Tornado,,,,,,
,Meteorological - Hydrological:,Kashechewan ON,23-Apr-05,0,Unknown,200,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Attawapiskat ON,19-May-04,Unknown,Unknown,1700,"$6,990,258"
,Flood,,,,,,
,Infrastructure failure:,"Ontario, Midwest and Northeast USA",14-Aug-03,Unknown,Unknown,Unknown,Unknown
,Energy,,,,,,
,Biological:,"Across Canada, largely in the Greater Toronto area",13-Mar-03,44,375,0,Unknown
,Epidemic,,,,,,
,Transportation accident:,Tyendinaga Township First Nation ON,21-Feb-03,Unknown,2,300,Unknown
,Rail,,,,,,
,Transportation accident:,Brantford ON,16-Nov-02,1,0,120,Unknown
,Rail,,,,,,
,Hazardous Chemicals:,Dryden ON,30-Jul-02,0,0,350,Unknown
,Leak / Spill Release,,,,,,
,Meteorological - Hydrological:,"Kee-Way-Win FN; Townships of Terrace Bay and Schrieber; Village of Rossport; Pays Plat FN; Deer Lake FN, ON",1-Jul-02,0,0,985,Unknown
,Wildfire,,,,,,
,Fire:,Kingsville ON,21-Jun-02,0,0,2500,Unknown
,Non-Residential,,,,,,
,Meteorological - Hydrological:,"Municipalities of Ignace, Fort Frances, Rainy River, Alberton, Atikokan, Chapple, Dawson, Emo, La Valle, Lake of the Woods, Morley, Machin; Township of Sioux-Narrows - Nestor Falls, ON",9-Jun-02,0,0,0,"$8,956,997"
,Flood,,,,,,
,Meteorological - Hydrological:,Attawapiskat First Nation ON,1-May-02,0,0,1200,Unknown
,Flood,,,,,,
