EVENT CATEGORY	EVENT GROUP	EVENT SUBGROUP	EVENT TYPE	PLACE	EVENT START DATE	COMMENTS	FATALITIES	INJURED / INFECTED	EVACUATED	ESTIMATED TOTAL COST	NORMALIZED TOTAL COST	EVENT END DATE	FEDERAL DFAA PAYMENTS	PROVINCIAL DFAA PAYMENTS	PROVINCIAL DEPARTMENT PAYMENTS	MUNICIPAL COSTS	OGD COSTS	INSURANCE PAYMENTS	NGO PAYMENTS	UTILITY - PEOPLE AFFECTED	MAGNITUDE	
Disaster	Natural	Biological	Epidemic	Alberta and Saskatchewan	26/10/2016 12:00:00 AM	Alberta and Saskatchewan, October 26 to December 21, 2016. In late September, the United States Department of Agriculture (USDA) discovered a case of bovine tuberculosis (TB) found in a cow from Alberta. The USDA then contacted the Canadian Food Inspection Agency (CFIA) whom initiated an investigation into the outbreak. The investigation found that one herd of cattle in Alberta was infected with TB. The one infected herd was located on 18 separate properties. Within the infected herd there were six confirmed cases of TB, including the cow that was slaughtered in the United states. The infection resulted in the quarantine of approximately 26,000 cattle from approximately 50 different properties in both Alberta and Saskatchewan. As a precaution, approximately 10,000 cattle were destroyed in order to stop the spread of the infection. The infection significantly impacted farmers in Alberta and Saskatchewan. The federal government of Canada offered to pay up to $16.7 million for ranchers who suffered agricultural loses due to the TB outbreak.				16700000.0000	16700000.0	21/12/2016 12:00:00 AM	16700000.0000									
Disaster	Natural	Meteorological - Hydrological	Flood	Fort McMurray AB	30/07/2016 12:00:00 AM	Fort McMurray AB, July 30-31 2016. Only weeks after the devastating wildfire that swept through the Regional Municipality of Wood Buffalo, the city of Fort McMurray was struck by a flash flood, which caused damages to personal property as well as disrupted local traffic and recovery efforts. On July 31, Fort McMurray received up to 85 mm of rain, which caused significant damages to approximately 41 homes. The flood occurred at a time when Fort McMurray was undergoing recovery efforts in response to the May wildfires that caused the evacuation of the entire city. The flash flood also caused road closures and knocked out power to traffic lights.				0.0000	0.0	31/07/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Prairie Provinces	18/07/2016 12:00:00 AM	Prairie Provinces, July 18-20, 2016. Southern regions of the Prairie provinces were overwhelmed by severe storms after weeks of bad weather. A storm system entered northward into southern Alberta where isolated thunderstorms developed along the Alberta foothills. On June 18, the storm eventually grew larger impacting Calgary, Medicine Hat and Dunmore with hail, heavy rain and strong winds as well as tornado warnings. On June 19, the storm system moved across Saskatchewan and Manitoba producing hail and prompting even more tornado warnings. In Saskatchewan, near softball sized hail pelted Stewart Valley and Davison, where a tornado briefly touched down resulting in minimal damages. Parts of southern Manitoba received less severe hail, however a more severe tornado touched down in Long Plain First Nation where there was extensive damages.				0.0000	0.0	20/07/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Alberta and Saskatchewan	15/07/2016 12:00:00 AM	Alberta and Saskatchewan, July 15-16, 2016. A storm system caused hail, heavy rain and flash flooding in parts of southern Alberta and southern Saskatchewan. On July 15, Lethbridge, Alberta was impacted by hail, while Calgary and Arbour Lake experienced localized flooding. On July 16, a torrential down pour consisting of 60 mm of rain in less than one hour hit the town of Swift Current, Saskatchewan, which caused flash flooding. In Alberta the hail damaged the roofs of homes, broke windows and dented vehicles. In Swift Current, flash flooding overwhelmed the city’s storm water system, which resulted in flooded basements and submerged vehicles.				0.0000	0.0	16/07/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Prairie Provinces	08/07/2016 12:00:00 AM	Prairie Provinces, July 8-11, 2016. Severe storms swept through the Prairies from July 8 to 11. On July 8, storms in Alberta impacted Edmonton, Calgary and Redwater where hail and heavy rain resulted in flash flooding. On July 10, the bad weather continued into Saskatchewan where 130 mm of rain fell causing significant flooding in Estevan prompting the declaration of a local state of emergency. There were also reports of numerous funnel clouds in Saskatchewan, including in Battleford and in Humboldt, where a small tornado briefly touched down for roughly 20 seconds. On July 11, the tail end of the storm system moved into Manitoba where some communities received up to 88.9 mm of rain, including Liyodminster, Yorktown, Humboldt and Watrous. The severe thunderstorms that swept through the Prairies resulted in property damage from hail and infrastructure damage from heavy rain, strong winds and lighting, including in Manitoba where wind gusts of over 100 km/h caused power outages due to fallen trees.				0.0000	0.0	11/07/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Prairie Provinces	28/06/2016 12:00:00 AM	Prairie Provinces, June 28-30, 2016. Multiple thunderstorms hit Alberta, Saskatchewan and Manitoba as a warm front moved into the prairies. On June 28, severe thunderstorms formed in Alberta, where Okotoks received 30 cm of hail, Edmonton received up to 75 mm of rain and Calgary was hit by strong winds and lighting that caused trees and two houses to catch fire. On June 29, the storm began to move into southern Saskatchewan and southern Manitoba where hail and heavy rain accompanied by strong winds caused localized flooding. Alberta experienced more bad weather on June 30, where Calgary was impacted by hail, Taber and Strathmore experienced flooding and an EF0 tornado touched down in Ponoka.				0.0000	0.0	30/06/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Alberta, Saskatchewan, Manitoba and Ontario	24/06/2016 12:00:00 AM	Alberta, Saskatchewan, Manitoba and Ontario, June 24-25, 2016. A large storm system caused bad weather throughout the Prairies and parts of northern Ontario. On June 24, widespread and severe thunderstorms caused heavy rain, strong winds, hail and lighting in southern Saskatchewan, while southern Manitoba experienced hail, wind gusts of up to 124 km/h and up to 138 mm of rain. In parts of southern Saskatchewan and Manitoba powerful winds uprooted trees and downed power lines, while flooding caused damages to roads, homes and businesses. In Manitoba, a voluntary evacuation was issued for the communities of Caddy Lake and Whiteshell due to flooding. On June 25, the storm system moved into northern Ontario where it caused significant flooding in Thunder Bay, which received 50 mm of rain in three hours.				0.0000	0.0	25/06/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Wildfire	Fort McMurray AB	30/04/2016 12:00:00 AM	Fort McMurray AB, April 30 to June 1, 2016. In May 2016, wildfires broke out in northern Alberta resulting in the most expensive natural disaster in the history of Canada. The city of Fort McMurray, located in the heart of the Athabasca oil sands, was hit by a massive system of wildfires that swept through the Regional Municipality of Wood Buffalo. The first wildfire was discovered on April 30, north of Fort McMurray. The Regional Municipality declared a local state of emergency and a mandatory evacuation order for Centennial Park on May 1 as well as another evacuation order for Prairie Creek and Centennial Trailer Park on May 2. The Fort McMurray fire grew rapidly due to hot and dry weather conditions, doubling in size to 2,656 hectares in a manner of hours. On May 3, the wildfire intensified and crossed over Highway 63, cutting off the route to evacuees, prompting the Athabasca Chipewyan First Nation to declare a state of local emergency and a mandatory evacuation order for Fort McMurray’s Lower Townsite and downtown area, which included the communities of Gregoire, Beacon Hill, Abasand, Waterways, Draper, Saline Creek, Grayling Terrace, Thickwood, Wood Buffalo and Dickinsfield. Later in the day the entire city of Fort McMurray was under a mandatory evacuation order. During the evacuations two people were killed in a car crash. On May 4, the Alberta government declared a provincial state of emergency. The Fort McMurray fire quickly grew to 85,000 hectares as the wildfire spread further north and east eventually passing through Fort McMurray. Evacuees that fled north of Fort McMurray had to be air lifted to safety. Some evacuees were taken to Lac La Biche, while the majority where sent to Edmonton and Calgary. On May 10, two of the main Fort McMurray fires joined together and formed a massive blaze of 229,000 hectares. On May 16, all workers in work camps and oil sand operations north of Fort McMurray were forced to move south as the wildfire spread further north. Residents of Fort McMurray were allowed to return home on June 1. In total, the Fort McMurray fires burned approximately 579,767 hectares of land causing the evacuation of over 90,000 people and destroyed 2,400 homes and business, including 530 other buildings that were damaged. At its peak, there were over 2000 firefighters working the fires daily, including helicopters and water bombers. In addition, firefighters received help from 200 firefighters from the United States, 60 from Mexico and 298 from South Africa. Firefighters and emergency response personnel received help from the Canadian Red Cross who assisted with evacuation efforts.	2		90000	4068678000.0000	4068678000.0	01/06/2016 12:00:00 AM	468678000.0000					3600000000.0000				
Disaster	Natural	Meteorological - Hydrological	Wildfire	Paul First Nation AB	18/04/2016 12:00:00 AM	Paul First Nation, AB, April 18-21, 2016. A state of emergency was issued for the Paul First Nation community located on Lake Wabumun, 70 km west of Edmonton. A large wildfire burned dangerously close to the community threatening 21 homes in the northeast corner of the reserve. The wildfire that destroyed one home forced the evacuation of 164 people outside the community of 1,100 residents. Wildfires burning around Edmonton destroyed two homes, injured two firefighters and destroyed one fire truck.		2	164	0.0000	0.0	21/04/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Southern Alberta	04/08/2015 12:00:00 AM	Southern Alberta, August 4-5, 2015. A severe thunderstorm warning was in place for much of southern Alberta including tornado warnings. On August 4, a storm cell that produced low to moderate levels of hail formed in the Elbow valley and later moved into the northern regions of Calgary just as a second storm cell headed towards the southern region of the city. Both storm cells formed one large storm system that hit the Calgary area with severe hail. As the storm system move out of Calgary, the village of Standard was impacted by small hail and there were reports of a tornado sighting in Langdon that caused minimal damages. On August 05, the Calgary area was hit again by bad weather. In Calgary there was significant rainfall and wind gusts of up to 78 km/h. Flooding occurred in the city where it had rained up to 100 mm since the previous storm. Over all, both storms produced strong winds that caused damages to the roofs of apartment buildings and residential homes. Approximately 35,000 customers (105,000 individuals) lost power due to damaged power lines from fallen trees. Heavy rain and hail also caused flooding that submerged basements, vehicles and underpasses.				0.0000	0.0	05/08/2015 12:00:00 AM								105000		
