EVENT CATEGORY	EVENT GROUP	EVENT SUBGROUP	EVENT TYPE	PLACE	EVENT START DATE	COMMENTS	FATALITIES	INJURED / INFECTED	EVACUATED	ESTIMATED TOTAL COST	NORMALIZED TOTAL COST	EVENT END DATE	FEDERAL DFAA PAYMENTS	PROVINCIAL DFAA PAYMENTS	PROVINCIAL DEPARTMENT PAYMENTS	MUNICIPAL COSTS	OGD COSTS	INSURANCE PAYMENTS	NGO PAYMENTS	UTILITY - PEOPLE AFFECTED	MAGNITUDE	
Incident	Technology	Hazardous Chemicals	Leak / Spill Release	Seaforth Channel BC	13/10/2016 12:00:00 AM	Seaforth Channel BC, October 13, 2016. The articulated barge and tug, Nathan E. Stewart, ran aground near Bella Bella in the Seaforth Channel. The tug, which contained 215,000 litres of diesel, began taking on water resulting in the empty barge breaking free from the tug. The tug was partially submerged and two of its fuel tanks were breached causing fuel to leak into the waters off the coast of the Great Bear Rainforest. The barge and tug, which were owned by the U.S. company Kirby Offshore Marine, were travelling south from Alaska. On October 14, two aerial flights confirmed that the sheen had spread throughout the Gale passage. Protection and containment efforts consisted of absorbent booms that were deployed around the damaged tug and booming along the Gale Passage, which included the application of petroleum sorbent. A dive team partially repaired sections of the breached fuel tanks to reduce the leakage while workers attempted to pump out the remaining fuel inside. Clean up and salvage recovery efforts were hindered by bad weather. It was not until November 15 when the tug was finally lifted out of the water and taken to shore on a salvage barge. It is estimated that 108,000 litres of fuel and 2,240 litres of lubricants were spilled. Most impacted by the leak was the Heiltsuk First Nation who closed local clam fisheries due to environmental concerns.				0.0000	0.0	13/10/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Storm - Unspecified / Other	South Coast and Lower Mainland British Columbia	12/10/2016 12:00:00 AM	South Coast and Lower Mainland British Columbia, October 12-16, 2016. The remnants of Super Typhoon Songda hit British Columbia’s southern coast with a trio of fall storms. The first storm occurred on October 12 and pounded the coast with heavy rain before moving across the Lower Mainland early the next day. The storm brought 80 to 100 mm of rain to Howe Sound and Metro Vancouver. In North Vancouver, the heavy rain poured hard enough to down a tree, which damaged one residents home and a vehicle. The second and third storms arrived on October 14 and 15, which brought more strong wind and heavy rain to the region. A wind warning was issued for Greater Victoria, where there were wind gusts of up to 90 km/h. Powerful winds downed trees and power lines knocking out power to 75,000 B.C. Hydro customers (approximately 225,000 individuals) across Vancouver Island and the Lower Mainland. A fallen tree struck and killed a 15 year old by near Clayton Heights. In total, during the course of the three storms, there were 250 downed trees in Vancouver and 202 mm of rain had accumulated in North Vancouver.	1			0.0000	0.0	16/10/2016 12:00:00 AM								225000		
Disaster	Natural	Meteorological - Hydrological	Storm - Unspecified / Other	South Coast and Lower Mainland British Columbia	06/10/2016 12:00:00 AM	South Coast and Lower Mainland British Columbia, October 6-8, 2016. Strong winds gusting up to 117 km/h battered eastern Vancouver Island, the Sunshine Coast and the Lower Mainland. On October 6, Vancouver reported wind gusts of 56 km/h, Victoria 36 km/h, and Sisters Island as well as Trail Island both recorded wind gusts of 117 km/h. Severe winds downed trees and power lines, which knocked out power to 100,000 B.C. Hydro customers (approximately 300,000 individuals). In eastern Victoria Island 29,000 people lost power over night. The most severely impacted area was Courtenay where 12,000 people were without power. At the peak of the storm, 45,000 people lost power throughout the province. By October 8, 13,000 people were still without power and strong winds continued to affect parts of the province.				0.0000	0.0	08/10/2016 12:00:00 AM								300000		
Disaster	Natural	Meteorological - Hydrological	Wildfire	West Kelowna BC	21/08/2016 12:00:00 AM	West Kelowna BC, August 21-25, 2016. A wildfire broke out on the evening of August 21, near Bear Creek Provincial Park located north of West Kelowna. The Central Okanagan Regional District ordered an evacuation of 156 homes (approximately 468 individuals). In addition, campers from the Bear Creek Provincial Park were also evacuated. Firefighting crews quickly gained control of the blaze, which was 52 hectares in size and 60 per cent contained by August 22. Evacuation orders were lifted for 51 homes and campers were temporarily allowed into their campsites to remove possessions, vehicles and trailers on August 22. The wildfire was 100 per cent contained by January 25.			468	0.0000	0.0	25/08/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Wildfire	Burns Bog BC	03/07/2016 12:00:00 AM	Burns Bog BC, July 3-6, 2016. A wildfire 78 hectares in size burned in the Burns Bog Delta Nature Reserve, located near Surrey British Columbia. The fire prompted a local state of emergency due to its proximity to suburban residential streets and an industrial complex. Delta’s Tilbury Industrial Park, which is comprised of 25 commercial businesses, was evacuated on July 3 and workers were unable to return until July 6. A section of Highway 17, from Highway 99 to the Highway 91 connector, temporarily closed as the fire burned dangerously close to the road. Burns Bog is the largest raised peat bog and the largest undeveloped urban land mass in the North American west coast. Officials predict that it could take up to a century for the bog to be completely restored.				0.0000	0.0	06/07/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Flood	Northeastern British Columbia	15/06/2016 12:00:00 AM	Northeastern British Columbia, June 15-17, 2016. Heavy rainfall throughout the Peace River region in northeastern British Columbia caused flooding in several communities. The district of Chetwynd declared a local state of emergency on June 15 after Chetwynd had received a total of 134.8 mm of rain over a two-day period. A section of Highway 97, the only route that connects the region of Peace River to the rest of the province, was closed due to flooding. The hardest hit by the flooding was the city of Dawson Creek where up to 98.6 mm of rain fell over a two-day period. In Dawson Creek, 60 people evacuated their homes due to flood waters that damaged approximately 400 homes, destroyed one bridge and submerged two others. The flooding in Dawson Creek cut the city in half, leaving residents in the south end of the city without power as well as separating the hospital from the fire hall, which created a challenge for emergency responders. In total, over 2000 homes and businesses (approximately 6000 individuals) were without power throughout the Peace River region as of June 15.			60	65132000.0000	65132000.0	17/06/2016 12:00:00 AM	65132000.0000							6000		
Disaster	Natural	Meteorological - Hydrological	Storm - Unspecified / Other	South Coast and Lower Mainland British Columbia	09/03/2016 12:00:00 AM	South Coast and Lower Mainland British Columbia, March 9-10, 2016. A storm system off the coast of British Columbia generated a windstorm that impacted Vancouver Island, the southwest coast and the lower mainland. The storm produced up to 100 mm of rain and wind gusts of over 100 km/h in some parts. Heavy rainfall caused localized flooding in Comox Valley, Port Mellon and Port Alberni as well as caused a mudslide in Cowichan Valley. Strong winds and high tide contributed towards a storm surge that accompanied the storm, causing coastal flooding in Delta, Richmond and White Rock. The strong winds were attributed for causing the most significant damages including fallen trees that downed power lines, resulting in 160,000 BC Hydro customer (approximately 480,000 individuals) being without power. Due to the power outages, 11 schools in Surrey, five in Abbotsford and five in Mission were closed. The powerful winds also damaged roofs, broke windows and even flipped over a Cessna aircraft. In addition, one individual in Port Moody was killed when a tree crashed through the roof of her home while she was inside.	1			0.0000	0.0	10/03/2016 12:00:00 AM								480000		
Disaster	Natural	Meteorological - Hydrological	Storm - Unspecified / Other	Lower Mainland British Columbia	29/08/2015 12:00:00 AM	Lower Mainland British Columbia, August 29, 2015. One of the worst windstorms to affect the province in decades hit British Columbia’s Lower Mainland. The most affected areas included Surrey, Richmond, Abbotsford and the Western Fraser Valley. On Saturna Island, wind gusts were report to reached 117 km/h. The powerful winds subsequently fell hundreds of trees, which damaged homes, vehicles and power lines. In total, approximately 500,000 customers (1,500,000 individuals) lost power due to damaged power lines. Some areas lost power temporarily, while others were without power for over three days. Fallen trees caused damages to residential and commercial property. Debris and traffic light outages created severe traffic congestion. There were numerous reports of an undetermined number of people being injured due to fallen trees and debris. One individual was critically injured and taken to the hospital after a tree fell on her while she was outside with her daughter. Additionally, a Vancouver Sky Train was damaged by a fallen tree resulting in service delays. The strong winds that fell hundreds of trees also caused the closure of Stanley Park, Pacific National Exhibition (PNE) and ferry crossings.		1		0.0000	0.0	29/08/2015 12:00:00 AM								1500000		
Disaster	Natural	Meteorological - Hydrological	Wildfire	British Columbia	09/05/2015 12:00:00 AM	British Columbia, May 9 to September 11, 2015. The 2015 wildfire season in British Columbia was the worst on record, in terms of number of fires and hectares burned, to impact the province in 10 years. During the wildfire season that spanned from May to September, over 1,800 fires burned over 300,000 hectares of land. Approximately two thirds of the fires were caused by lighting. The season began early with the discovery of the Little Bobtail Lake fire on May 9. Many fires were within a close proximity of urban areas prompting evacuation orders and alerts across the province. A number of communities were affected by evacuation orders and alerts. Evacuation orders were issued for 141 homes in Joe Rich Kelowna, 70 homes in West Kelowna, 150 homes in Port Hardy and 110 homes in Testalinden, including others. In Puntzi Lake, 90 homes were evacuated and 18 structures were destroyed, while in Rock Creek 330 homes were evacuated and 30 homes as well as 15 other structures were destroyed. Across the province, 1,144 homes (approximately 3,432 individuals) were evacuated due to wildfires. BC Hydro was forced to cut power to certain communities as a precaution, like in West Kelowna where power was cut to 100 customers (approximately 300 individuals). Additional personnel and resources were needed to help battle to above average number of fires burning throughout the province including 310 out-of province firefighters as well as firefighters from Australia, South Africa and the United states. In total, 2,500 firefighters and support workers were working across the province during the peak of the wildfire season. One man was fatally injured while felling a danger tree at the Old Sechelt Mine fire.	1		3432	20401000.0000	20691061.6	11/09/2015 12:00:00 AM	20401000.0000							300		
Incident	Technology	Hazardous Chemicals	Leak / Spill Release	Vancouver BC	08/04/2015 12:00:00 AM	Vancouver BC, April 8, 2015. The MV Marathassa leaked 2,700 litres of bunker C fuel into the Vancouver English Bay. Spreading through Vancouver Harbour to Burrard Inlet, the oil spill contaminated many of Vancouver's shorelines including Second Beach and English Bay Beach. Several beaches were closed and residents were instructed not to come in contact with the toxic oil. The leak was relatively small but had a significant negative impact on the water quality, local wildlife and environment. According to researchers of the Vancouver Aquarium Marine Science Centre Ocean Pollution Research Program, sediment samples collected from the sites of Second Beach and English Bay exceeded Canadian environmental quality guidelines for aquatic life conservation.				0.0000	0.0	08/04/2015 12:00:00 AM										
