EVENT CATEGORY	EVENT GROUP	EVENT SUBGROUP	EVENT TYPE	PLACE	EVENT START DATE	COMMENTS	FATALITIES	INJURED / INFECTED	EVACUATED	ESTIMATED TOTAL COST	NORMALIZED TOTAL COST	EVENT END DATE	FEDERAL DFAA PAYMENTS	PROVINCIAL DFAA PAYMENTS	PROVINCIAL DEPARTMENT PAYMENTS	MUNICIPAL COSTS	OGD COSTS	INSURANCE PAYMENTS	NGO PAYMENTS	UTILITY - PEOPLE AFFECTED	MAGNITUDE	
Disaster	Natural	Meteorological - Hydrological	Storm - Unspecified / Other	Christmas Island NS	25/12/2016 12:00:00 AM	Christmas Island NS, December 25, 2016. Residents of Christmas Island were left without power on Christmas morning due to a strong windstorm that blew in early in the morning. There were 21 reported power outages in the region affecting 3,346 customers in total (approximately 10,038 individuals). Power outages were reported as early as 5 am, with more power outages occurring periodically throughout the day. Areas affected by the power outages included Beaver Cove, Barrachois, French Vale, Bramber, Digby, Port Hawkesbury, Lower Sackville, East River and Mill Cove. Wind warnings were in effect for Sydney Metro and Cape Bretton county. The strong winds brought rain resulting in some localized flooding. Debris from the wind accompanied by the rain created poor driving conditions throughout the province. Nearly all power was restored later in the evening.				0.0000	0.0	25/12/2016 12:00:00 AM								10038		
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Nova Scotia and Prince Edward Island	27/11/2016 12:00:00 AM	Nova Scotia and Prince Edward Island, November 27-29, 2016. An early winter storm hit the Maritime provinces affecting Nova Scotia and Prince Edward Island on November 27. The storm dumped 15 cm of snow on the mainland of Nova Scotia and produced strong winds in Cape Breton. A mix of messy weather consisting of freezing rain, ice and snow created dangerous driving conditions. In Nova Scotia, the Canso Causeway was closed to high-sided vehicles and Highway 104 was closed in certain sections due to poor visibility. One transport truck over turned on the Seal Island Bridge in Cape Breton due to strong wind gusts of up to 110 km/h. In Nova Scotia 11,200 customers (approximately 33,600 individuals) lost power, while in P.E.I 12,000 customers (approximately 36,000 individuals) were without power. In P.E.I power remained out for some residents until November 29.				0.0000	0.0	29/11/2016 12:00:00 AM								69000		
Disaster	Natural	Meteorological - Hydrological	Flood	Nova Scotia, Prince Edward Island and Newfoundland	09/10/2016 12:00:00 AM	Nova Scotia, Prince Edward Island and Newfoundland, October 9-13, 2016. Atlantic Canada was hit with heavy rain as a result of the remnants of Hurricane Matthew. Wind and heavy rainfall warnings were in affect from October 10 to 11 for northeastern Nova Scotia and Newfoundland. On October 10, 150 mm of rain fell on Newfoundland. The town of Burgeo alone received 120 mm of rain, which caused the closure of Highway 480. St-Alban’s declared a state of emergency due to various road closures including the Swanger’s Cove Bridge on route 361, which was reported to have been damaged and was deemed unusable by the Newfoundland Public Safety Regional Office. Road closures in St-Alban’s resulted in the isolation of numerous homes. In Nova Scotia, over 220 mm of rain was reported across the province. The J.A. Douglas McCurdy Sydney Airport was forced to close all runways. Cape Breton was hard hit by the heavy rain, which resulted in property damage to approximately 300 homes. Most severely impacted was Eskasoni First Nation where 100 homes were flooded and an undetermined number of people evacuated due to high water levels. On October 11, there were 16 states of emergency in Newfoundland where Bager and Gander received 131 mm and 124 mm of rain. While there no states of emergency declared in Nova Scotia, NS Power reported that approximately 130,000 customers (390,000 individuals) had experienced power outages. Prince Edward Island received 73 mm of rain, which left approximately 600 residents without power. Ferries in Nova Scotia and Newfoundland were closed due to eight-metre high waves caused by the storm. The Canadian Armed Forces assisted with sandbagging efforts as water levels continued to rise until October 12. It was not until October 13 when water levels began to drop in certain areas, however in Newfoundland water levels remained at a record high. Power was restored to all customers in Nova Scotia and Prince Edward Island by October 13.				30350000.0000	30350000.0	13/10/2016 12:00:00 AM	30350000.0000							390600		
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Nova Scotia	05/04/2016 12:00:00 AM	Nova Scotia, April 5, 2016. Several powers outages stretching from Annapolis Valley to Cape Breton resulted in up to 11,000 homes and businesses (approximately 33,000 individuals) being without power. The power outages were caused by strong winds and heavy rain that pushed trees onto power lines. The impacted areas included Coldbrook, Tatamagouche, Antigonish and Cheticamp. Many schools and businesses were closed due to the power outages and the Tancook Island Ferry service was shut down temporarily because of strong winds.				0.0000	0.0	05/04/2016 12:00:00 AM								33000		
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Ontario, Quebec, New Brunswick, Nove Scotia, Prince Edward Island and Newfoundland	24/02/2016 12:00:00 AM	Ontario, Quebec, New Brunswick, Nove Scotia, Prince Edward Island and Newfoundland, February 24-26, 2016. A storm system tracked its way northeast into the Great Lakes from the United States in late February. The system moved towards eastern Canada, causing widespread damages to Ontario, Quebec, New Brunswick, Nova Scotia, Prince Edward Island and Newfoundland. On February 24, freezing rain caused up to 25 mm of ice accumulation to build in parts of Ontario, Quebec and New Brunswick. On February 25, Quebec and New Brunswick experienced several hours of continued freezing rain. Heavy rain and thunderstorms trailed behind the freezing rain resulting in total rainfalls of 51 mm in Hamilton, Ontario, 36 mm in Lennoxville, Quebec and 68 mm in Gray River, Newfoundland. A combination of rain and mild weather that melted ice and snow resulted in localized flooding for numerous communities. Flooded basements were reported in Cornwall, Ontario, multiple underpasses were closed due to flooding in Montreal, Quebec, while local fire departments in northern New Brunswick warned drivers of poor road conditions due to ice ruts and isolated flooding. Multiple local states of emergency were declared in the Eastern Townships of Quebec where ice breakup resulted in the flooding of local rivers. Approximately 200 residents were evacuated and over 50 homes in Beauceville, Quebec were damaged by floodwaters. Fallen trees weighed down by the heavy ice and snow damaged power lines resulting in widespread power outages. Quebec was hit the hardest with over 250,000 hydro customers (approximately 750,000 individuals) affected by the power outages.			200	0.0000	0.0	26/02/2016 12:00:00 AM								750000		
Incident	Technology	Transportation accident	Air	Halifax NS	28/03/2015 12:00:00 AM	Halifax NS, March 28, 2015. At 23:40 EDT, Airbus A320 travelling from Toronto to Halifax, crash landed at the Halifax Stanfield International airport. The plane struck an antenna array, which damaged the landing gear causing the plane crashed into the ground 335 metres before the runway. The plane subsequently skidded along the runway for more than 600 metres without landing gear. There were 133 passengers and 5 crew members on board Flight 624 at the time of the crash. Passengers and crew had to make an emergency exit outside the airplane and were forced to wait in the cold for first responders to arrive. Out of the 138 people on board, 25 people sustained injuries and were taken to local hospitals.		25	138	0.0000	0.0	28/03/2015 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Maritime Provinces	15/02/2015 12:00:00 AM	Maritime Provinces, February 15-17, 2015. A major storm system formed off the United States east coast and moved towards the north Atlantic. On February 15, the storm system hit Nova Scotia bringing with it snow, ice and rain. In Halifax the weather changed from snow to rain, creating flooding in the streets, which turned into an overnight flash freeze. Greenwood, Nova Scotia received 56 cm of snow, while in Cape Breton Island wind gusts were recorded of up to 176 km/h. The next day in New Brunswick, heavy snow impacted Moncton where it snowed up to 58 cm. The hardest hit area was Prince Edward Island where it snowed over 80 cm in Charlottetown. During the storm, damages were caused by strong winds that downed trees and power lines leaving approximately 4000 customers (12,000 individuals) without power in New Brunswick. Flooding brought on by the rain also caused damages to city streets and created dangerous driving conditions as black ice formed when the temperature dropped. The huge amount of snow that fell on the region buried vehicles, left people stranded in their homes and resulted in the closure of numerous schools and businesses. In New Annan, Prince Edward Island 20 people were left homeless in blizzard conditions as fires irrupted in a motel where 18 people had to be evacuated as well as a home near Winsloe where two people had to be evacuated. In addition, an apartment fire in Fredericton resulted in the evacuation of one individual.			21	0.0000	0.0	17/02/2015 12:00:00 AM								12000		
Disaster	Natural	Meteorological - Hydrological	Hurricane / Typhoon / Tropical Storm	Quebec, New Brunswick, Nova Scotia, Prince Eward Island, and Newfoundland and Labrador	28/08/2011 12:00:00 AM	Quebec, New Brunswick, Nova Scotia, Prince Edward Island and Newfoundland and Labrador, August 28-30, 2011. Hurricane Irene, the storm that caused over 40 deaths and billions of dollars in damages in the United States, moved north into Canada affecting parts of Quebec and the Maritime provinces. The 400 kilometre-wide Post-Tropical storm produced heavy rain and strong gusts of wind, which downed trees and power lines. Parts of Quebec received more than 100 mm of rain and wind gusts of up to 113 km/h. On August 28, Hydro-Quebec reported approximately 250,000 customers (750,000 individuals) without power and by August 29, only 80,000 households were without power. The storm was responsible for two deaths in Quebec; one man died while attempting to reach his family in the storm, while another went missing and is presumed dead when his car was washed down river. Approximately 350 residents were evacuated in Quebec. Strong winds produced six-metre waves over western Maritime waters. Some parts of Labrador received up to 40 mm of rain overnight, while Doaktown and Fredricton New Brunswick received 89 mm and 53 mm respectively. Approximately 50,000 households (150,000 individuals) in New Brunswick and 8000 (24,000 individuals) households in Nova Scotia were without power during the height of the storm.	2		350	153856000.0000	164763222.7	30/08/2011 12:00:00 AM	16056000.0000					137800000.0000		1169000		
Disaster	Natural	Meteorological - Hydrological	Flood	New Brunswick and Nova Scotia	13/12/2010 12:00:00 AM	New Brunswick and Nova Scotia, December 13, 2010.  New Brunswick and Nova Scotia experienced heavy rainfall resulting in extensive flooding. A layer of ice and snow underground prevented rain from being absorbed, which led to significant flooding. In New Brunswick and Nova Scotia, flooding caused damages to homes and roads as well as power outages that affected approximately 80,000 residents (240,000 individuals) in Nova Scotia. In New Brunswick, St. Stephan received up to 166.4 mm of rain, while Fedricton received 101.7 mm of rain. Over 120 roads were closed in New Brunswick and up to 60 homes were destroyed. In addition, approximately 44 residents (132 individuals) from St. George and Nashwaak Valley were displaced from their homes. Both provinces provided provincial aid to victims.	0	0	132	5000000.0000	5510729.6	13/12/2010 12:00:00 AM	5000000.0000							240000	0.0	
Disaster	Natural	Meteorological - Hydrological	Flood	Yarmouth and Halifax NS	07/11/2010 12:00:00 AM	Yarmouth and Halifax NS, November 7 to December 15, 2010. High winds and heavy rains over a one month period resulted in the "worst flooding in a century."  On November 7, storms began with 215 mm of rain falling in Yarmouth and 172 mm in Halifax. On November 9, 120 families (360 individuals) were evacuated from Yarmouth, and several more families were evacuated from nearby Lequille (Annapolis Royal) and Lake Vaughn. A state of emergency was declared when more than 100 mm of rain fell within 18 hours flooding and overwhelming local resources. Rains continued through to December 15. During this time, roads and bridges were washed out, homes were badly damaged by flood waters, and power was lost to more than 46,000 homes (138,000 individuals). On May 19, 2011, the Emergency Management Office of Nova Scotia released a statement indicating the Disaster Financial Assistance Program’s approval for cost-sharing between the province and Ottawa.			360	0.0000	0.0	15/12/2010 12:00:00 AM										
