community_name,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade:,PctNotHSGrad:,PctBSorMore:,PctUnemployed:,PctEmploy:,PctEmplManu:,PctEmplProfServ:,PctOccupMgmtProf:,MalePctDivorce:,MalePctNevMarr:,FemalePctDiv:,TotalPctDiv:,PersPerFam:,PctFam2Par:,PctKids2Par:,PctYoungKids2Par:,PctTeen2Par:,PctWorkMomYoungKids:,PctWorkMom:,NumIlleg:,PctIlleg:,NumImmig:,PctRecentImmig:,PctSpeakEnglOnly:,PctNotSpeakEnglWell:,PctLargHouseFam:,PctLargHouseOccup:,PersPerOccupHous:,PersPerOwnOccHous:,PersPerRentOccHous:,PctPersOwnOccup:,PctPersDenseHous:,PctHousLess3BR:,MedNumBR:,HousVacant:,PctHousOccup:,PctHousOwnOcc:,PctVacantBoarded:,PctVacMore6Mos:,MedYrHousBuilt:,PctHousNoPhone:,PctWOFullPlumb:,OwnOccLowQuart:,OwnOccMedVal:,OwnOccHiQuart:,RentLowQ:,RentMedian:,RentHighQ:,MedRent:,MedRentPctHousInc:,MedOwnCostPctInc:,MedOwnCostPctIncNoMtg:,NumInShelters:,NumStreet:,PctForeignBorn:,PctBornSameState:,PctSameHouse85:,LandArea:,PopDens:,PctUsePubTrans:,ViolentCrimesPerPop:
Polandtownship,0.01,0.52,0,1,0.01,0.01,0.38,0.31,0.21,0.52,0.02,0.81,0.4,0.48,0.05,0.64,0.6,0.2,0.8,0.39,0.35,0.33,0,0.12,0,0.03,0.39,0,0.09,0.1,0.19,0.43,0.23,0.43,0.34,0.55,0.55,0.13,0.24,0.08,0.1,0.51,0.96,0.95,0.95,0.74,0.4,0.41,0,0.04,0,0.03,0.89,0.03,0.17,0.2,0.58,0.58,0.26,0.95,0.03,0.13,0.5,0,0.96,0.93,0.08,0.68,0.4,0.06,0.09,0.15,0.14,0.16,0.24,0.24,0.24,0.25,0.27,0.41,0.35,0,0,0.06,0.82,0.86,0.06,0.05,0,0
Harvardtown,0,1,0.24,0.73,0.16,0.1,0.76,0.81,0.72,0.03,0,0,0.59,0.93,0.59,0.66,0.06,0.06,0.13,0.49,0.44,0.47,0.28,0.17,0.25,0.26,0.28,0,0.09,0.02,0.02,0.69,0.03,0.95,0.49,0.7,1,0.24,0.68,0.09,0.16,0.69,0.95,0.97,0.92,0.91,0.43,0.39,0,0.05,0,0.12,0.83,0.01,0.21,0.26,0.81,0.66,0.92,0.26,0.15,0.29,0.5,0.01,0.81,0.34,0.05,0.52,0.48,0.04,0.31,0.83,0.86,0.84,0.52,0.55,0.67,0.51,0.25,0.42,0.22,0,0,0.13,0.17,0.13,0.07,0.04,0.75,0
Cranberrytownship,0.01,0.54,0.01,0.99,0.02,0.01,0.33,0.43,0.19,0.2,0,0,0.48,0.79,0.24,0.62,0.28,0.07,0.34,0.43,0.39,0.37,0.94,0.28,0.23,0.75,0.99,0,0.05,0.06,0.14,0.47,0.25,0.71,0.32,0.4,0.49,0.26,0.24,0.3,0.29,0.57,0.9,0.9,0.93,0.83,0.33,0.38,0,0.05,0,0.03,0.98,0.01,0.13,0.15,0.59,0.63,0.28,0.87,0.03,0.3,0.5,0.01,0.84,0.82,0.03,0.24,0.81,0.03,0.23,0.18,0.18,0.19,0.48,0.42,0.45,0.49,0.26,0.47,0.28,0,0,0.04,0.86,0.53,0.06,0.05,0.03,0
Spencercity,0,0.31,0,0.99,0.04,0,0.39,0.41,0.24,0.52,0,0,0.21,0.56,0.82,0.49,0.56,0.37,0.2,0.25,0.26,0.25,0,0.04,0,0.61,0.31,0.01,0.25,0.21,0.24,0.25,0.04,0.6,0.33,0.42,0.34,0.41,0.23,0.41,0.43,0.4,0.71,0.78,0.82,0.76,0.81,0.84,0,0.07,0,0.01,0.98,0.01,0.1,0.09,0.32,0.42,0.2,0.59,0.04,0.48,0.5,0.01,0.83,0.54,0.17,0.6,0.38,0.3,0.33,0.06,0.06,0.07,0.1,0.12,0.12,0.09,0.26,0.18,0.29,0,0,0.01,0.8,0.55,0.03,0.09,0.03,0
Warrentown,0,0.37,0.01,0.99,0.02,0.02,0.3,0.4,0.23,0.58,0.02,0.87,0.33,0.52,0.29,0.49,0.61,0.28,0.53,0.35,0.35,0.33,0.31,0.25,0.38,0.41,0.32,0.01,0.18,0.49,0.53,0.23,0.3,0.55,0.64,0.35,0.32,0.41,0.36,0.38,0.41,0.42,0.71,0.73,0.71,0.71,0.74,0.82,0,0.11,0.01,0.01,0.71,0.23,0.15,0.14,0.38,0.49,0.26,0.56,0.05,0.52,0.5,0.01,0.77,0.5,0.03,0.65,0.21,0.15,0.66,0.34,0.34,0.33,0.31,0.35,0.39,0.37,0.51,0.61,0.47,0,0,0.3,0.55,0.65,0.02,0.15,0.11,0
Oswegocity,0.01,0.41,0.01,0.97,0.03,0.03,0.53,0.62,0.55,0.52,0,0,0.2,0.4,0.07,0.46,0.63,0.36,0.65,0.28,0.23,0.22,0.21,0.49,0.06,0.13,0.34,0.03,0.5,0.3,0.46,0.31,0.54,0.28,0.24,0.64,0.42,0.35,0.64,0.34,0.36,0.46,0.56,0.6,0.65,0.63,0.2,0.21,0.01,0.2,0,0.14,0.93,0.04,0.21,0.19,0.37,0.43,0.32,0.49,0.06,0.47,0.5,0.02,0.78,0.46,0.29,0.57,0,0.19,0.14,0.1,0.1,0.09,0.23,0.24,0.27,0.24,0.63,0.13,0.58,0,0.03,0.07,0.91,0.53,0.02,0.21,0.13,0
Simsburytown,0.02,0.51,0.02,0.96,0.1,0.02,0.4,0.36,0.23,0.31,0,0,0.87,0.77,0.27,0.89,0.29,0.07,0.53,0.87,0.8,0.78,0.65,0.35,0.49,0.36,0.8,0,0.02,0.09,0.06,0.92,0.1,0.69,0.32,0.58,0.9,0.2,0.31,0.24,0.23,0.49,0.92,0.94,0.94,0.74,0.33,0.49,0,0.04,0.01,0.09,0.91,0.02,0.12,0.14,0.55,0.58,0.3,0.85,0.02,0.23,0.5,0.01,0.9,0.81,0.09,0.61,0.63,0,0.09,0.6,0.62,0.62,0.65,0.66,0.8,0.7,0.45,0.42,0.32,0,0,0.18,0.39,0.71,0.1,0.05,0.15,0
Ogdensburgcity,0.01,0.67,0.16,0.82,0.04,0.1,0.42,0.56,0.37,0.47,0,0,0.19,0.37,0.13,0.37,0.63,0.5,0.74,0.23,0.21,0.17,0.5,0.11,0.77,0.12,0.15,0.01,0.36,0.37,0.56,0.17,0.61,0.13,0.27,0.79,0.34,0.43,0.73,0.54,0.5,0.52,0.51,0.56,0.75,0.69,0.79,0.69,0.01,0.24,0,0.05,0.85,0.12,0.27,0.24,0.44,0.53,0.33,0.56,0.05,0.47,0.5,0.01,0.8,0.51,0.5,0.65,0,0.35,0.34,0.04,0.04,0.04,0.16,0.18,0.17,0.16,0.37,0.27,0.4,0,0,0.15,0.91,0.59,0.01,0.22,0.04,0
PeachtreeCitycity,0.01,0.65,0.08,0.89,0.2,0.04,0.48,0.36,0.2,0.18,0,0,0.69,0.8,0.28,0.66,0.23,0.03,0.4,0.62,0.48,0.47,0.29,0,0.43,0.74,0.47,0,0.04,0.07,0.07,0.62,0.23,0.6,0.33,0.23,0.63,0.16,0.19,0.26,0.22,0.62,0.89,0.92,0.92,0.74,0.19,0.31,0,0.08,0.01,0.31,0.9,0.05,0.17,0.2,0.71,0.71,0.57,0.83,0.04,0.12,0.5,0.02,0.81,0.81,0,0.28,0.94,0.02,0.08,0.27,0.28,0.28,0.51,0.55,0.63,0.62,0.43,0.56,0.35,0,0,0.13,0.22,0.2,0.07,0.07,0.01,0
Mequoncity,0.01,0.63,0.05,0.95,0.08,0.01,0.45,0.34,0.26,0.34,0.03,1,0.81,0.77,0.63,0.93,0.38,0.08,0.39,0.76,0.76,0.75,0.53,0.02,0.15,0.01,0.57,0,0.04,0.12,0.1,0.8,0.12,0.62,0.4,0.63,0.82,0.08,0.31,0.11,0.1,0.51,0.97,0.98,0.93,0.8,0.47,0.37,0,0.03,0,0.03,0.92,0.04,0.19,0.22,0.62,0.6,0.45,0.94,0.01,0.12,0.5,0.01,0.89,0.93,0.1,0.54,0.65,0,0.26,0.33,0.36,0.41,0.36,0.47,0.64,0.43,0.45,0.39,0.36,0,0,0.09,0.68,0.6,0.13,0.03,0.06,0
