,Glacier ID,Political Unit,Continent,Basin Code,Location Code,Glacier Code,Glacier Name,Latitude,Longitude,Primary Class,Glacier Source,Glacier Form,Glacier Activity,Minimum Elevation,Minimum Elevation Exposed,Mean Elevation,Maximum Elevation,Snow Line Elevation,Snow Line Accuracy,Glacier Area,Area Accuracy,Area Exposed,Mean Width,Mean Length,Maximum Length,Maximum Length Exposed,Mean Depth,Depth Accuracy,Accumulation Orientation,Ablation Orientation,Topographic Map Year,Topographic Map Scale,Photograph Year
7836,BT5O240A0006,BHUTAN,ASIA,O240,A0,6,ZHENXIELI,28.241,90.296,6.0,1.0,3.0,1.0,5730.0,5730.0,6272.0,6814.0,6130.0,2.0,2.85,1.0,2.85,1.2,3.6,4.1,4.1,62.0,2.0,NW,NW,1982.0,110000.0,1980.0
22743,CA2S011H0020,CANADA,NORTH AMERICA,S011,H0,20,WILCOX GLACIER,76.175,-80.755,4.0,1.0,0.0,4.0,0.0,0.0,822.0,1165.0,845.0,4.0,116.54,3.0,112.82,3.3,29.3,29.3,29.3,250.0,4.0,S,S,1967.0,250000.0,1959.0
22768,CA2S011H0250,CANADA,NORTH AMERICA,S011,H0,250,CORY GLACIER,76.26,-79.96,4.0,1.0,0.0,4.0,0.0,0.0,805.0,1176.0,750.0,4.0,118.43,3.0,116.78,4.8,21.1,21.1,15.4,350.0,4.0,S,S,1967.0,250000.0,1959.0
22949,CA2S017H0020,CANADA,NORTH AMERICA,S017,H0,20,LEFFERT GLACIER,78.697,-75.655,4.0,1.0,2.0,4.0,0.0,0.0,980.0,1762.0,1100.0,4.0,582.97,3.0,582.59,9.2,59.8,59.8,59.8,450.0,4.0,E,E,1967.0,250000.0,1959.0
22973,CA2S017I0040,CANADA,NORTH AMERICA,S017,I0,40,WYVILLE THOMSON,78.393,-75.297,4.0,1.0,3.0,5.0,0.0,0.0,392.0,930.0,305.0,4.0,19.99,3.0,21.83,1.9,10.6,10.6,10.6,250.0,4.0,NE,NE,1967.0,250000.0,1959.0
22981,CA2S017I0120,CANADA,NORTH AMERICA,S017,I0,120,TANQUARY GLACIER,78.458,-76.167,5.0,1.0,1.0,4.0,0.0,0.0,765.0,1658.0,640.0,4.0,300.57,3.0,296.52,4.8,32.0,32.0,32.0,450.0,4.0,NE,NE,1967.0,250000.0,1959.0
23001,CA2S017I0320,CANADA,NORTH AMERICA,S017,I0,320,EKBLAW GLACIER,78.5,-77.0,5.0,1.0,1.0,4.0,0.0,0.0,1134.0,1932.0,457.0,4.0,333.21,3.0,331.11,12.5,70.0,70.0,70.0,600.0,4.0,E,E,1967.0,250000.0,1959.0
23004,CA2S017I0350,CANADA,NORTH AMERICA,S017,I0,350,SMALL GLACIER,78.553,-76.535,4.0,1.0,3.0,4.0,155.0,155.0,1133.0,1250.0,830.0,4.0,17.08,3.0,17.08,1.8,9.4,9.4,9.4,150.0,4.0,S,S,1967.0,250000.0,1959.0
23006,CA2S017I0370,CANADA,NORTH AMERICA,S017,I0,370,GREEN GLACIER,78.575,-76.363,4.0,1.0,3.0,4.0,0.0,0.0,1123.0,1220.0,932.0,4.0,26.37,3.0,26.37,2.7,10.1,10.1,10.1,250.0,4.0,S,S,1967.0,250000.0,1959.0
23009,CA2S017I0400,CANADA,NORTH AMERICA,S017,I0,400,ALLEN GLACIER,78.572,-76.18,4.0,1.0,3.0,4.0,0.0,0.0,1004.0,1143.0,900.0,4.0,26.14,3.0,26.14,3.4,10.3,10.3,10.3,250.0,4.0,S,S,1967.0,250000.0,1959.0
