,Event Type,Place,Event Start Date,Fatalities,Injured / Infected,Evacuated,Normalized Total Cost (2016)
,Biological:,Alberta and Saskatchewan,26-Oct-16,Unknown,Unknown,Unknown,"$16,700,000 "
,Epidemic,,,,,,
,Meteorological - Hydrological:,Fort McMurray AB,30-Jul-16,Unknown,Unknown,Unknown,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,18-Jul-16,Unknown,Unknown,Unknown,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Alberta and Saskatchewan,15-Jul-16,Unknown,Unknown,Unknown,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,08-Jul-16,Unknown,Unknown,Unknown,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,28-Jun-16,Unknown,Unknown,Unknown,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,"Alberta, Saskatchewan, Manitoba and Ontario",24-Jun-16,Unknown,Unknown,Unknown,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Fort McMurray AB,30-Apr-16,2,Unknown,90000,"$4,068,678,000 "
,Wildfire,,,,,,
,Meteorological - Hydrological:,Paul First Nation AB,18-Apr-16,Unknown,2,164,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Southern Alberta,04-Aug-15,Unknown,Unknown,Unknown,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Alberta and Saskatchewan,22-Jul-15,Unknown,Unknown,Unknown,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Chestermere AB,12-Jul-15,Unknown,Unknown,Unknown,Unknown
,Flood,,,,,,
,Hazardous Chemicals:,Long Lake AB,29-Jun-15,Unknown,Unknown,Unknown,Unknown
,Leak / Spill Release,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,12-Jun-15,Unknown,Unknown,Unknown,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Southern Alberta,15-Jun-14,0,0,500,Unknown
,Flood,,,,,,
,Transportation accident:,Gainsford AB,19-Oct-13,0,0,120,Unknown
,Rail,,,,,,
,Meteorological - Hydrological:,Southern Alberta,19-Jun-13,4,0,100000,"$2,839,586,912 "
,Flood,,,,,,
,Meteorological - Hydrological:,Lethbridge and Coalhurst AB,10-Sep-12,0,0,3000,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Mackenzie County AB,11-Jul-12,0,0,300,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,"Eckville, Lacombe, Paddle River, Fort Vermilion, and Peace River AB",12-Jul-11,0,0,156,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Calgary AB,29-May-11,0,0,141,Unknown
,Flood,,,,,,
