,Event Type,Place,Event Start Date,Fatalities,Injured / Infected,Evacuated,Normalized Total Cost (2016)
,Hazardous Chemicals:,Winnipeg MB,04-Aug-16,Unknown,Unknown,200,Unknown
,Leak / Spill Release,,,,,,
,Meteorological - Hydrological:,Long Plain First Nation MB,20-Jul-16,Unknown,Unknown,600,Unknown
,Tornado,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,18-Jul-16,Unknown,Unknown,Unknown,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,08-Jul-16,Unknown,Unknown,Unknown,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,28-Jun-16,Unknown,Unknown,Unknown,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,"Alberta, Saskatchewan, Manitoba and Ontario",24-Jun-16,Unknown,Unknown,Unknown,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Easterville and Chemawawin MB,23-Jun-16,Unknown,Unknown,2070,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Prairie Provinces,12-Jun-15,Unknown,Unknown,Unknown,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Southern Manitoba,16-Feb-15,Unknown,Unknown,Unknown,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Southern Manitoba,25-Jun-14,0,0,560,"$1,194,447,153 "
,Flood,,,,,,
,Meteorological - Hydrological:,Vita MB,02-Oct-12,Unknown,Unknown,300,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Island Lake and Garden Hill MB,23-Jul-12,0,0,1428,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Southern Manitoba,02-Jun-11,0,0,2937,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Brandon MB,10-May-11,0,0,3623,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,"Assiniboine, Roseau and Red Rivers MB",19-Apr-11,0,0,2543,"$749,500,464 "
,Flood,,,,,,
,Meteorological - Hydrological:,Cranberry Portage MB,23-Jun-10,0,0,200,"$10,549,855 "
,Wildfire,,,,,,
,Meteorological - Hydrological:,Winnipeg MB,28-May-10,0,0,0,"$8,521,541 "
,Flood,,,,,,
,Meteorological - Hydrological:,Winnipeg and Steinbach MB,14-Aug-09,0,0,0,"$56,118,881 "
,Storms and Severe Thunderstorms,,,,,,
,Biological:,Across Canada,01-Apr-09,425,8582,0,Unknown
,Pandemic,,,,,,
,Meteorological - Hydrological:,"Roseau River First Nation, Sioux Falls, Peguis First Nation, St. Andrews, St. Clements and Selkirk MB",24-Mar-09,0,0,3000,"$85,868,622 "
,Flood,,,,,,
,Biological:,Across Canada,01-Aug-08,22,57,0,Unknown
,Epidemic,,,,,,
,Meteorological - Hydrological:,Winnipeg MB,11-Jul-08,0,0,0,Unknown
,Tornado,,,,,,
,Meteorological - Hydrological:,Pukatawagan MB,10-Jun-08,0,0,0,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Norway House and Sherridon MB,28-May-08,0,0,3330,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,South-Central Manitoba,16-May-08,0,0,0,"$353,911 "
,Storm - Unspecified / Other,,,,,,
,Meteorological - Hydrological:,South Indian Lake MB,19-Jul-07,0,0,963,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Elie MB,22-Jun-07,0,0,0,Unknown
,Tornado,,,,,,
,Meteorological - Hydrological:,"Municipalities of Pipestone, Sifton, Cameron, White water, Morton, Riverside, Turtle Mountain, Strathcona and Argyle and the Whiteshell Provincial Park MB",22-Jun-07,0,0,0,"$1,362,518 "
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Selkirk MB,03-Apr-07,0,0,120,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Manitoba,02-Jun-05,0,Unknown,1197,"$44,439,265 "
,Flood,,,,,,
,Meteorological - Hydrological:,The Pas MB,21-Jul-04,Unknown,Unknown,Unknown,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,South Central Manitoba,24-Mar-04,Unknown,Unknown,1000,"$2,823,663 "
,Flood,,,,,,
,Meteorological - Hydrological:,Manitoba,01-Apr-03,0,Unknown,665,"$6,602,674 "
,Wildfire,,,,,,
,Meteorological - Hydrological:,Southeast MB,11-Jun-02,0,0,150,"$13,323,102 "
,Flood,,,,,,
,Explosion:,Brookdale MB,14-Apr-02,Unknown,Unknown,100,Unknown
,Non-Residential,,,,,,
,Meteorological - Hydrological:,"Across Canada, concentrated in Saskatchewan and Alberta",01-Jun-01,0,0,0,Unknown
,Drought,,,,,,
,Meteorological - Hydrological:,Southern Manitoba,01-Apr-01,Unknown,Unknown,Unknown,"$21,939,104 "
,Flood,,,,,,
,Meteorological - Hydrological:,Southern Manitoba,07-Jul-00,0,0,0,"$3,926,780 "
,Flood,,,,,,
,Biological:,Little Saskatchewan First Nation Reserve MB,01-Oct-99,0,0,170,Unknown
,Infestation,,,,,,
,Meteorological - Hydrological:,"Cross Lake, Seymourville MB",29-Apr-99,0,0,1050,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Melita MB,01-Apr-99,0,0,0,"$150,922,451 "
,Flood,,,,,,
,Meteorological - Hydrological:,East of Lake Winnipeg MB,05-Mar-99,Unknown,Unknown,1107,Unknown
,Wildfire,,,,,,
,Hazardous Chemicals:,Portage la Prairie MB,10-Jul-98,0,0,0,Unknown
,Derailment Release,,,,,,
,Meteorological - Hydrological:,"Assiniboine, Red and Winnipeg Rivers MB",22-Apr-97,0,0,25447,"$708,065,744 "
,Flood,,,,,,
,Meteorological - Hydrological:,Winnipeg MB,16-Jul-96,0,0,0,"$151,653,543 "
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,"Red River, Souris River, Assiniboine River and Pembina River MB",18-Apr-96,0,0,285,"$9,845,026 "
,Flood,,,,,,
,Meteorological - Hydrological:,Southern Manitoba,30-Jul-95,0,0,0,"$13,218,164 "
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Southern Alberta,10-Jul-95,0,0,0,"$41,192,069 "
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Western MB,01-Apr-95,0,0,100,"$6,164,439 "
,Flood,,,,,,
,Meteorological - Hydrological:,Southern Manitoba,27-Aug-94,0,0,0,"$21,269,454 "
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Southwestern Manitoba,01-Aug-94,0,0,0,"$4,779,226 "
