Event Type,Place,Event Start Date,Fatalities,Injured / Infected,Evacuated,Normalized Total Cost (2016),
Transportation accident:,Resolute Bay NU,20-Aug-11,12,3,0,Unknown,
Air,,,,,,,
Biological:,Across Canada,1-Apr-09,425,8582,0,Unknown,
Pandemic,,,,,,,
Meteorological - Hydrological:,Pangnirtung NU,8-Jun-08,0,0,0,"$5,072,429",
Flood,,,,,,,
Transportation accident:,Near the North Pole NU,1-Oct-91,18,0,0,Unknown,
Air,,,,,,,
Meteorological - Hydrological:,Across Canada,5-Jan-82,0,0,0,Unknown,
Cold Event,,,,,,,
Meteorological - Hydrological:,Yukon to Ontario,8-Feb-79,0,0,0,Unknown,
Cold Event,,,,,,,
Biological:,Across Canada,1-Jan-53,481,8000,0,Unknown,
Epidemic,,,,,,,
Geological:,Baffin Bay NU,20-Nov-33,0,0,0,Unknown,
Earthquake,,,,,,,
Biological:,Across Canada,1-Jan-18,50000,2000000,0,Unknown,
Epidemic,,,,,,,
