EVENT CATEGORY	EVENT GROUP	EVENT SUBGROUP	EVENT TYPE	PLACE	EVENT START DATE	COMMENTS	FATALITIES	INJURED / INFECTED	EVACUATED	ESTIMATED TOTAL COST	NORMALIZED TOTAL COST	EVENT END DATE	FEDERAL DFAA PAYMENTS	PROVINCIAL DFAA PAYMENTS	PROVINCIAL DEPARTMENT PAYMENTS	MUNICIPAL COSTS	OGD COSTS	INSURANCE PAYMENTS	NGO PAYMENTS	UTILITY - PEOPLE AFFECTED	MAGNITUDE	
Disaster	Natural	Meteorological - Hydrological	Flood	Windsor and Tecumseh ON	29/09/2016 12:00:00 AM	Windsor and Tecumsech ON, September 29, 2016. States of emergency were declared in Windsor and Tecumsech after the region was hit with intense storms that produced significant flooding. The Windsor Airport recorded 78 mm of rain within a 24-hour period, while another gauge in the city’s east end measured 106 mm and the town of Tecumsech received up to 190 mm. In both municipalities, the heavy rain resulted in hundreds of flooded basements. Cars were abandoned in flooded streets and many roads were closed.				0.0000	0.0	29/09/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Southern Ontario	08/07/2016 12:00:00 AM	Southern Ontario, July 8, 2016. A cold front produced severe thunderstorms across southern Ontario. Multiple severe storms caused hail to fall in Markdale and Flesherton before moving east into Midland and Bradford. Heavy rain, strong winds and lighting were experienced in London, Whitby and Ajax, where it rained over 35 mm. Strong wind gusts of over 100 km/h were reported in areas north of the Greater Toronto Area (GTA). The strong winds downed trees and power lines resulting in power outages that affected over 39,000 Hydro One customers (approximately 117,000 individuals). Additionally, hail caused significant crop damage to over 2000 acres of crop land in the Holland Marsh area.				0.0000	0.0	08/07/2016 12:00:00 AM								117000		
Disaster	Natural	Meteorological - Hydrological	Flood	Kenora ON	27/06/2016 12:00:00 AM	Kenora ON, June 27-28, 2016. Two states of emergency were declared in Kenora due to flooding that resulted in over 20 roads experiencing moderate to extensive damages. On June 27, the first state of emergency was declared after Kenora received more than 109 mm of rain over a two-day period. The main road into the city, Veterans Drive, was completely washed out and subsequently closed. A second state of emergency was declared on June 28.				0.0000	0.0	28/06/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Alberta, Saskatchewan, Manitoba and Ontario	24/06/2016 12:00:00 AM	Alberta, Saskatchewan, Manitoba and Ontario, June 24-25, 2016. A large storm system caused bad weather throughout the Prairies and parts of northern Ontario. On June 24, widespread and severe thunderstorms caused heavy rain, strong winds, hail and lighting in southern Saskatchewan, while southern Manitoba experienced hail, wind gusts of up to 124 km/h and up to 138 mm of rain. In parts of southern Saskatchewan and Manitoba powerful winds uprooted trees and downed power lines, while flooding caused damages to roads, homes and businesses. In Manitoba, a voluntary evacuation was issued for the communities of Caddy Lake and Whiteshell due to flooding. On June 25, the storm system moved into northern Ontario where it caused significant flooding in Thunder Bay, which received 50 mm of rain in three hours.				0.0000	0.0	25/06/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Flood	Kashechewan First Nation ON	27/04/2016 12:00:00 AM	Kashechewan First Nation ON, April 27-30, 2016. The chief of Kashechewan First Nation declared a state of emergency on April 27 due to annual spring ice break up, snowmelt and subsequent run off in the James Bay coast. In total, 1,207 residents out of the 1,600 residents who live in the northern Ontario reserve evacuated their homes in multiple stages of evacuations that took place from April 29-30. Evacuees were taken to Kapuskasing and Thunder bay.			1207	0.0000	0.0	30/04/2016 12:00:00 AM										
Incident	Technology	Fire	Residential	Pikangikum First Nation ON	29/03/2016 12:00:00 AM	Pikangikum First Nation ON, March 29, 2016. A residential fire in the remote northwestern Ontario community of Pikangikum First Nation, killed a total of nine people. All of the victims were family members and died from smoke inhalation. A five month old baby, a two year old and a four year old were the youngest of the victims. The cause of the fire is unknown.	9			0.0000	0.0	29/03/2016 12:00:00 AM										
Disaster	Natural	Geological	Landslide	Horton ON	28/03/2016 12:00:00 AM	Horton ON, March 28-29, 2016. A 10 hectare landslide in the township of Horton slid into the Bonnechere River near Renfrew Ontario. The landslide congested the river with trees and debris causing a blockage, which resulted in flooding of up to seven metres. The flood water destroyed a cottage and a hunting camp as well as caused damage to the Renfrew Sewage Plant and Hydroelectric Plant.				0.0000	0.0	29/03/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Southern Ontario	23/03/2016 12:00:00 AM	Southern Ontario, March 23-26, 2016. A warm front over southern Ontario caused snow, rain and freezing rain to fall over a three-day period. The wet weather began as snow for many regions in the Greater Toronto Area (GTA), and then briefly turned into rain before freezing rain occurred overnight. On March 24, freezing rain impacted regions west of Toronto and the GTA. Highly elevated areas including the Niagara escarpment, Dundalk Highlands and parts of the GTA received 24 hours of freezing rain. Freezing rain occurred throughout southern Ontario until March 26, leaving several communities with significant ice accumulation including 35 mm in Fergus, 33 mm in Orangeville, 20 mm Brampton and Newmarket as well as 10 mm north of Barrie and Toronto. The freezing rain caused damages to personal property and municipal infrastructure due to the significant ice buildup. Downed trees destroyed power lines and caused damages to homes, outbuildings and vehicles. Approximately 100,000 hydro customers (300,000 individuals) were without power during the storm. Additionally, the storm caused the cancelation of in-going and out-going flights at the Toronto Pearson International Airport and Billy Bishop Toronto City Airport as well as resulted in the closure and cancelation of schools and municipal busses.				0.0000	0.0	26/03/2016 12:00:00 AM								300000		
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Ontario, Quebec, New Brunswick, Nove Scotia, Prince Edward Island and Newfoundland	24/02/2016 12:00:00 AM	Ontario, Quebec, New Brunswick, Nove Scotia, Prince Edward Island and Newfoundland, February 24-26, 2016. A storm system tracked its way northeast into the Great Lakes from the United States in late February. The system moved towards eastern Canada, causing widespread damages to Ontario, Quebec, New Brunswick, Nova Scotia, Prince Edward Island and Newfoundland. On February 24, freezing rain caused up to 25 mm of ice accumulation to build in parts of Ontario, Quebec and New Brunswick. On February 25, Quebec and New Brunswick experienced several hours of continued freezing rain. Heavy rain and thunderstorms trailed behind the freezing rain resulting in total rainfalls of 51 mm in Hamilton, Ontario, 36 mm in Lennoxville, Quebec and 68 mm in Gray River, Newfoundland. A combination of rain and mild weather that melted ice and snow resulted in localized flooding for numerous communities. Flooded basements were reported in Cornwall, Ontario, multiple underpasses were closed due to flooding in Montreal, Quebec, while local fire departments in northern New Brunswick warned drivers of poor road conditions due to ice ruts and isolated flooding. Multiple local states of emergency were declared in the Eastern Townships of Quebec where ice breakup resulted in the flooding of local rivers. Approximately 200 residents were evacuated and over 50 homes in Beauceville, Quebec were damaged by floodwaters. Fallen trees weighed down by the heavy ice and snow damaged power lines resulting in widespread power outages. Quebec was hit the hardest with over 250,000 hydro customers (approximately 750,000 individuals) affected by the power outages.			200	0.0000	0.0	26/02/2016 12:00:00 AM								750000		
Disaster	Natural	Meteorological - Hydrological	Tornado	Southern Ontario	02/08/2015 12:00:00 AM	Southern Ontario, August 2-3, 2015. Southern Ontario was struck by three confirmed tornados, two EF2 tornadoes and an EF1 tornado, along with an EF1 downburst and one other unconfirmed tornado sighting. An EF2 tornado touched down in the small town of Teviotdale located 60 kilometres north of Waterloo and another touched down in Lebanon. Wind gusts were reported between 180 to 220 km/h in some areas. The tornado that struck Lebanon caused only minimal damages, however the tornado in Teviotdale left a nine kilometre trail of damage, which downed power lines, destroyed two homes and damaged several other homes and vehicles. The EF1 tornado in Marsville also caused only minimal damages, mostly to trees. In addition, there was a confirmed EF1 downburst in Utica that caused damages to a local Green Tractors John Deere Dealership as well as an unconfirmed tornado in Proton Station that collapsed a tent sending six people to the hospital. Approximately 50,000 hydro customers (150,000 individuals) in southwest Ontario were left without power due to the severe supercell system that caused the tornadoes to form. Residents in several communities throughout southern Ontario experienced strong winds, rain and hail after the tornadoes touched down as a second system moved into the region later in the evening.		6		0.0000	0.0	03/08/2015 12:00:00 AM								150000		
