EVENT CATEGORY	EVENT GROUP	EVENT SUBGROUP	EVENT TYPE	PLACE	EVENT START DATE	COMMENTS	FATALITIES	INJURED / INFECTED	EVACUATED	ESTIMATED TOTAL COST	NORMALIZED TOTAL COST	EVENT END DATE	FEDERAL DFAA PAYMENTS	PROVINCIAL DFAA PAYMENTS	PROVINCIAL DEPARTMENT PAYMENTS	MUNICIPAL COSTS	OGD COSTS	INSURANCE PAYMENTS	NGO PAYMENTS	UTILITY - PEOPLE AFFECTED	MAGNITUDE	
Incident	Technology	Hazardous Chemicals	Leak / Spill Release	Winnipeg MB	04/08/2016 12:00:00 AM	Winnipeg MB, August 4, 2016. A natural gas leak in Winnipeg prompted the evacuation of approximately 200 people. The leak was caused by a contractor who accidently severed a gas line at a construction site in the intersection of Keewatin Street and Paramount Road. In total, 122 homes and two businesses were temporarily evacuated, but residents were allowed to return later that day.			200	0.0000	0.0	04/08/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Tornado	Long Plain First Nation MB	20/07/2016 12:00:00 AM	Long Plain First Nation MB, July 20, 2016. An EF1 tornado touch downed in the community of Long Plain First Nation leaving a trail of destruction. The tornado that resulted from the upper-level low system that swept across the prairies uprooted trees and caused extensive property damage. In total, the tornado severely damaged 57 homes, while another 150 homes sustained moderate damages. In addition, the tornado caused damages to the Dakota Ojibway Police Service’s communications equipment. Approximately 600 residents were displaced from their homes and relocated to Winnipeg where they stayed in emergency accommodations. The storm system that accompanied the tornado downed hydro lines and poles, resulting in power outages. Over 18,000 Hydro customers (approximately 54,000 individuals) in Manitoba were without power. In Long Plain and surrounding areas, roughly 6,500 Hydro customers (approximately 19,500 individuals) lost power.			600	0.0000	0.0	20/07/2016 12:00:00 AM								54000		
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Prairie Provinces	18/07/2016 12:00:00 AM	Prairie Provinces, July 18-20, 2016. Southern regions of the Prairie provinces were overwhelmed by severe storms after weeks of bad weather. A storm system entered northward into southern Alberta where isolated thunderstorms developed along the Alberta foothills. On June 18, the storm eventually grew larger impacting Calgary, Medicine Hat and Dunmore with hail, heavy rain and strong winds as well as tornado warnings. On June 19, the storm system moved across Saskatchewan and Manitoba producing hail and prompting even more tornado warnings. In Saskatchewan, near softball sized hail pelted Stewart Valley and Davison, where a tornado briefly touched down resulting in minimal damages. Parts of southern Manitoba received less severe hail, however a more severe tornado touched down in Long Plain First Nation where there was extensive damages.				0.0000	0.0	20/07/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Prairie Provinces	08/07/2016 12:00:00 AM	Prairie Provinces, July 8-11, 2016. Severe storms swept through the Prairies from July 8 to 11. On July 8, storms in Alberta impacted Edmonton, Calgary and Redwater where hail and heavy rain resulted in flash flooding. On July 10, the bad weather continued into Saskatchewan where 130 mm of rain fell causing significant flooding in Estevan prompting the declaration of a local state of emergency. There were also reports of numerous funnel clouds in Saskatchewan, including in Battleford and in Humboldt, where a small tornado briefly touched down for roughly 20 seconds. On July 11, the tail end of the storm system moved into Manitoba where some communities received up to 88.9 mm of rain, including Liyodminster, Yorktown, Humboldt and Watrous. The severe thunderstorms that swept through the Prairies resulted in property damage from hail and infrastructure damage from heavy rain, strong winds and lighting, including in Manitoba where wind gusts of over 100 km/h caused power outages due to fallen trees.				0.0000	0.0	11/07/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Prairie Provinces	28/06/2016 12:00:00 AM	Prairie Provinces, June 28-30, 2016. Multiple thunderstorms hit Alberta, Saskatchewan and Manitoba as a warm front moved into the prairies. On June 28, severe thunderstorms formed in Alberta, where Okotoks received 30 cm of hail, Edmonton received up to 75 mm of rain and Calgary was hit by strong winds and lighting that caused trees and two houses to catch fire. On June 29, the storm began to move into southern Saskatchewan and southern Manitoba where hail and heavy rain accompanied by strong winds caused localized flooding. Alberta experienced more bad weather on June 30, where Calgary was impacted by hail, Taber and Strathmore experienced flooding and an EF0 tornado touched down in Ponoka.				0.0000	0.0	30/06/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Alberta, Saskatchewan, Manitoba and Ontario	24/06/2016 12:00:00 AM	Alberta, Saskatchewan, Manitoba and Ontario, June 24-25, 2016. A large storm system caused bad weather throughout the Prairies and parts of northern Ontario. On June 24, widespread and severe thunderstorms caused heavy rain, strong winds, hail and lighting in southern Saskatchewan, while southern Manitoba experienced hail, wind gusts of up to 124 km/h and up to 138 mm of rain. In parts of southern Saskatchewan and Manitoba powerful winds uprooted trees and downed power lines, while flooding caused damages to roads, homes and businesses. In Manitoba, a voluntary evacuation was issued for the communities of Caddy Lake and Whiteshell due to flooding. On June 25, the storm system moved into northern Ontario where it caused significant flooding in Thunder Bay, which received 50 mm of rain in three hours.				0.0000	0.0	25/06/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Wildfire	Easterville and Chemawawin MB	23/06/2016 12:00:00 AM	Easterville and Chemanwawin MB, June 23-27, 2016. Evacuation orders were issued for the communities of Easterville and Chemanwawin Cree Nation, located 450 kilometres north of Winnipeg, due to smoke and the threat of a wildfire that came within half a kilometre of the two communities. There were three fires burning in the area at the time. The fire closest to Easterville and Chemanwawin reached a peak size of 350 hectares. Two water bombers, four bulldozers and seven ground crews kept the fire from reaching the communities. Approximately 2000 people from Chemawawin were evacuated and brought to Winnipeg and approximately 70 people from Easterville were evacuated and brought to The Pas. The Canadian Red Cross along with the help of the Indigenous and Municipal Relations (IMR) assisted with the coordination of the evacuation.			2070	0.0000	0.0	27/06/2016 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Prairie Provinces	12/06/2015 12:00:00 AM	Prairie Provinces, June 12, 2015. A massive storm system moved through the prairies causing severe thunderstorms to occur throughout the prairie provinces starting in central Alberta and Saskatchewan. Parts of southern Alberta experienced thunderstorms including High River, Brooks and Taber. The storm intensified near Medicine Hat where there was hail and strong winds that caused damages throughout the city. Approximately 9000 people in Alberta lost power due to downed power lines. The storm later moved into Saskatchewan near maple Creek with hail and estimated wind gusts of up to 120 km/h. As the storm travelled eastward, Assiniboia and Weyburn sustained damages from hail. A large part of the storm moved into Manitoba, bringing heavy rain, strong winds and hail that impacted Virden causing extensive damages.				0.0000	0.0	12/06/2015 12:00:00 AM								9000		
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Southern Manitoba	16/02/2015 12:00:00 AM	Southern Manitoba, May 16-18, 2015. A Colorado low responsible for a tornado outbreak in the United States moved north into Manitoba where it merged with an Artic front. The combined systems created a storm that produced strong winds and heavy rain that eventually turned into ice pellets, snow and hail. On May 17, southern Manitoba was hit with heavy rain and isolated thunderstorms that produced wind gusts of 93 km/h in Winnipeg, 89 km/h in Gimli Harbour and 83 km/h near Brandon. Heavy rain was also reported with the heaviest areas receiving 90 mm in Melita and 83 mm in Bede. The Artic front lowered the temperature causing the rain to turn into freezing rain and snow. MacGregor and Teulon both received 15 cm of snow. Damages were caused by strong winds downing trees and power lines. Approximately 5000 people temporarily lost power during the weekend storm. Heavy rain and snowmelt also caused flooding in certain areas where damage was done to agricultural lands and cottage properties. In addition, the heavy rain caused sewage backups in Winnipeg.				0.0000	0.0	18/02/2015 12:00:00 AM								5000		
Disaster	Natural	Meteorological - Hydrological	Flood	Southern Manitoba	25/06/2014 12:00:00 AM	Southern Manitoba, June 25 to July 14, 2014. After a relatively quiet spring flood season, heavy rainfall in Western Manitoba and Saskatchewan led to record flows and flooding along the Assiniboine, Qu’Appelle and Souris Rivers. Up to 200 mm of rain fell in some municipalities. Over 43 local states of emergency were declared followed by a provincial state of emergency and formal request for federal assistance on July 4. Approximately 300 Canadian Armed Forces personnel deployed from CFB Shilo to help flood recovery efforts. The Portage Diversion was opened near Portage la Prairie to direct flows from the Assiniboine river into Lake Manitoba. In total, approximately 560 people were evacuated from their homes. The Government of Manitoba estimates that over 920,000 acres of farm land went unseeded for the 2014 season, representing 25 percent of arable acres in Manitoba with an associated estimated cost of over $1 billion dollars. 
