EVENT CATEGORY	EVENT GROUP	EVENT SUBGROUP	EVENT TYPE	PLACE	EVENT START DATE	COMMENTS	FATALITIES	INJURED / INFECTED	EVACUATED	ESTIMATED TOTAL COST	NORMALIZED TOTAL COST	EVENT END DATE	FEDERAL DFAA PAYMENTS	PROVINCIAL DFAA PAYMENTS	PROVINCIAL DEPARTMENT PAYMENTS	MUNICIPAL COSTS	OGD COSTS	INSURANCE PAYMENTS	NGO PAYMENTS	UTILITY - PEOPLE AFFECTED	MAGNITUDE	
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Ontario, Quebec, New Brunswick, Nove Scotia, Prince Edward Island and Newfoundland	24/02/2016 12:00:00 AM	Ontario, Quebec, New Brunswick, Nove Scotia, Prince Edward Island and Newfoundland, February 24-26, 2016. A storm system tracked its way northeast into the Great Lakes from the United States in late February. The system moved towards eastern Canada, causing widespread damages to Ontario, Quebec, New Brunswick, Nova Scotia, Prince Edward Island and Newfoundland. On February 24, freezing rain caused up to 25 mm of ice accumulation to build in parts of Ontario, Quebec and New Brunswick. On February 25, Quebec and New Brunswick experienced several hours of continued freezing rain. Heavy rain and thunderstorms trailed behind the freezing rain resulting in total rainfalls of 51 mm in Hamilton, Ontario, 36 mm in Lennoxville, Quebec and 68 mm in Gray River, Newfoundland. A combination of rain and mild weather that melted ice and snow resulted in localized flooding for numerous communities. Flooded basements were reported in Cornwall, Ontario, multiple underpasses were closed due to flooding in Montreal, Quebec, while local fire departments in northern New Brunswick warned drivers of poor road conditions due to ice ruts and isolated flooding. Multiple local states of emergency were declared in the Eastern Townships of Quebec where ice breakup resulted in the flooding of local rivers. Approximately 200 residents were evacuated and over 50 homes in Beauceville, Quebec were damaged by floodwaters. Fallen trees weighed down by the heavy ice and snow damaged power lines resulting in widespread power outages. Quebec was hit the hardest with over 250,000 hydro customers (approximately 750,000 individuals) affected by the power outages.			200	0.0000	0.0	26/02/2016 12:00:00 AM								750000		
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Fredericton NB	28/05/2015 12:00:00 AM	Fredericton NB, May 28-29, 2015. Fredericton was hit by a severe thunderstorm that knocked out power to 25,000 people. A significant amount of rain and hail fell in the area causing flash flooding in the streets of Fredericton. It was reported that 25 to 40 mm of rain fell in one hour and the storm produced wind gusts of up to 82 km/h. The storm that downed power lines and trees also produced a significant amount of lightening. It was reported that there were 319 lightning strikes within 50 kilometres of Fredericton.				0.0000	0.0	29/05/2015 12:00:00 AM								25000		
Disaster	Natural	Meteorological - Hydrological	Flood	Perth-Andover NB	18/04/2015 12:00:00 AM	Perth-Andover NB, April 18-20, 2015. Perth-Andover experienced significant flooding due to a massive ice jam that broke apart on the St. John and Tobique Rivers. Ice congested local waterways near the village of Perth-Andover causing water levels to rise. The flooding forced 300 people to evacuate. The Canadian Red Cross assisted with the evacuation order. Many businesses closed down, including schools and the local hospital where 23 patients staying at the Hotel Dieu of St. Joseph had to be relocated. Route 105, the major road into Perth-Andover, was closed due to the risk of overland flooding.			300	0.0000	0.0	20/04/2015 12:00:00 AM										
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Maritime Provinces	15/02/2015 12:00:00 AM	Maritime Provinces, February 15-17, 2015. A major storm system formed off the United States east coast and moved towards the north Atlantic. On February 15, the storm system hit Nova Scotia bringing with it snow, ice and rain. In Halifax the weather changed from snow to rain, creating flooding in the streets, which turned into an overnight flash freeze. Greenwood, Nova Scotia received 56 cm of snow, while in Cape Breton Island wind gusts were recorded of up to 176 km/h. The next day in New Brunswick, heavy snow impacted Moncton where it snowed up to 58 cm. The hardest hit area was Prince Edward Island where it snowed over 80 cm in Charlottetown. During the storm, damages were caused by strong winds that downed trees and power lines leaving approximately 4000 customers (12,000 individuals) without power in New Brunswick. Flooding brought on by the rain also caused damages to city streets and created dangerous driving conditions as black ice formed when the temperature dropped. The huge amount of snow that fell on the region buried vehicles, left people stranded in their homes and resulted in the closure of numerous schools and businesses. In New Annan, Prince Edward Island 20 people were left homeless in blizzard conditions as fires irrupted in a motel where 18 people had to be evacuated as well as a home near Winsloe where two people had to be evacuated. In addition, an apartment fire in Fredericton resulted in the evacuation of one individual.			21	0.0000	0.0	17/02/2015 12:00:00 AM								12000		
Disaster	Natural	Meteorological - Hydrological	Hurricane / Typhoon / Tropical Storm	Quebec, New Brunswick, Nova Scotia, and Prince Edward Island	05/07/2014 12:00:00 AM	Quebec, New Brunswick, Nova Scotia, and Prince Edward Island, July 5-6, 2014. Hurricane Arthur transformed into a powerful Post-Tropical storm over the Maritime provinces. The storm brought powerful wind gusts and heavy rain to Quebec, New Brunswick, Nova Scotia and Prince Edward Island. The most amount of rain was received in St. Stephen, New Brunswick where it rained up to 143 mm. The strongest winds were felt in Nova Scotia where in Greenwood wind gusts reached up to 140 km/h. In Quebec, severe flooding in Mont-Louis inundated several roads affecting 40 homes, while in Marsoui approximately 30 homes were evacuated (approximately 90 individuals). The powerful winds generated by the storm downed trees and power lines throughout the Maritimes causing power outages, property damage and infrastructure damage. Approximately 290,000 homes and businesses (870,000 individuals) in the Maritimes were without power, while in Quebec approximately 23,000 homes and businesses (69,000 individuals) were reported to have lost power.	0	0	90	24712000.0000	25343616.6	06/07/2014 12:00:00 AM	12212000.0000		12500000.0000					939000		
Disaster	Natural	Meteorological - Hydrological	Flood	New Brunswick	15/04/2014 12:00:00 AM	New Brunswick, April 15 to May 2, 2014. Spring flooding damaged more than 715 homes and businesses, roads, bridges, and other public infrastructure around the province. The majority of property damages were in and around Sussex and Sussex Corner, where 120 homes and 10 businesses were flooded. On April 16, a state of emergency was declared as water breached the banks of the St. John River, causing 1,450 people to evacuate their homes. In Perth-Andover, 23 patients were voluntarily evacuated and transferred to Upper River Valley Hospital. Throughout the rest of the province, swollen rivers led to the closure of several roads and localized flooding.	0	0	1473	29603000.0000	30359626.2	02/05/2014 12:00:00 AM	13603000.0000		16000000.0000							
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Ontario, Quebec and New Brunswick	20/12/2013 12:00:00 AM	Ontario, Quebec and New Brunswick, December 20, 2013 to January 03, 2014. A severe winter storm system that formed over the Great Lakes Region caused significant damage in Ontario and Quebec before moving east bringing freezing rain, ice pellets, and snow to New Brunswick. Starting December 20, southern Ontario received 20-30 mm of freezing rain during a two-day period. In Quebec, 53,000 people lost power due to the freezing rain, which damaged power lines. By December 23, over 54,000 NB Power customers were without power. A second storm tracked north along the Atlantic coast, bringing up to 30 cm of snow, causing more power outages and delays, which complicated recovery efforts. In total, over 88,000 NB Power customers (approximately 264,000 individuals) lost power over an 11-day period, with the last restorations occurring on January 3, 2014. In total, 11 individuals died during the ice storm from either vehicle accidents or carbon monoxide poisoning from the use of gas generators.	0	0	0	0.0000	0.0	03/01/2014 12:00:00 AM								317000		
Disaster	Natural	Meteorological - Hydrological	Flood	Perth-Andover NB	23/03/2012 12:00:00 AM	Perth-Andover NB, March 23-25, 2012. The Village of Perth-Andover declared a state of emergency on March 23. The village of roughly 1,770 residents was forced to evacuate approximately 500 people living along a four-kilometre section the St. John’s River on March 24. Within the nearby Tobique First Nation community, approximately 20 people were evacuated to a school gymnasium and six homes were damaged by floodwaters. Public Safety Canada’s regional office reported that approximately 200 homes and businesses were damaged, including those of the Tobique First Nation. The province’s Emergency Measures Organization indicated that unseasonably hot weather caused rapid snowmelt, resulting in an ice jam that was to blame for the river breaching its banks. Andover Elementary School and Southern Victoria High School were both closed due to damages from the floodwaters. The Red Cross used Perth-Andover Middle School as an emergency evacuation site. Perth-Andover hospital also sustained damages; patients were relocated to the Upper River Valley Hospital in Waterville and Grand Falls General Hospital, while some were discharged home. Service New Brunswick’s temporary location in Perth-Andover offered free well-water bacterial testing for private well owners who were impacted by the flood. Health Canada was responsible for contacting well owners with information on potentially harmful contamination in their water, whereas Environment Canada as well as local authorities were responsible for notifying remaining well owners of the absence of bacteria in their water. New Brunswick’s provincial government offered information on government services for people whose property sustained damage resulting from the flood. The response level remained within provincial capacity.			500	19778000.0000	20866846.3	25/03/2012 12:00:00 AM	19778000.0000									
Disaster	Natural	Meteorological - Hydrological	Hurricane / Typhoon / Tropical Storm	Quebec, New Brunswick, Nova Scotia, Prince Eward Island, and Newfoundland and Labrador	28/08/2011 12:00:00 AM	Quebec, New Brunswick, Nova Scotia, Prince Edward Island and Newfoundland and Labrador, August 28-30, 2011. Hurricane Irene, the storm that caused over 40 deaths and billions of dollars in damages in the United States, moved north into Canada affecting parts of Quebec and the Maritime provinces. The 400 kilometre-wide Post-Tropical storm produced heavy rain and strong gusts of wind, which downed trees and power lines. Parts of Quebec received more than 100 mm of rain and wind gusts of up to 113 km/h. On August 28, Hydro-Quebec reported approximately 250,000 customers (750,000 individuals) without power and by August 29, only 80,000 households were without power. The storm was responsible for two deaths in Quebec; one man died while attempting to reach his family in the storm, while another went missing and is presumed dead when his car was washed down river. Approximately 350 residents were evacuated in Quebec. Strong winds produced six-metre waves over western Maritime waters. Some parts of Labrador received up to 40 mm of rain overnight, while Doaktown and Fredricton New Brunswick received 89 mm and 53 mm respectively. Approximately 50,000 households (150,000 individuals) in New Brunswick and 8000 (24,000 individuals) households in Nova Scotia were without power during the height of the storm.	2		350	153856000.0000	164763222.7	30/08/2011 12:00:00 AM	16056000.0000					137800000.0000		1169000		
Disaster	Natural	Meteorological - Hydrological	Flood	New Brunswick and Nova Scotia	13/12/2010 12:00:00 AM	New Brunswick and Nova Scotia, December 13, 2010.  New Brunswick and Nova Scotia experienced heavy rainfall resulting in extensive flooding. A layer of ice and snow underground prevented rain from being absorbed, which led to significant flooding. In New Brunswick and Nova Scotia, flooding caused damages to homes and roads as well as power outages that affected approximately 80,000 residents (240,000 individuals) in Nova Scotia. In New Brunswick, St. Stephan received up to 166.4 mm of rain, while Fedricton received 101.7 mm of rain. Over 120 roads were closed in New Brunswick and up to 60 homes were destroyed. In addition, approximately 44 residents (132 individuals) from St. George and Nashwaak Valley were displaced from their homes. Both provinces provided provincial aid to victims.	0	0	132	5000000.0000	5510729.6	13/12/2010 12:00:00 AM	5000000.0000							240000	0.0	
